"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2015"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Ahde";344;2.09;164.6
"Ahlainen";396;3.08;128.5
"Ahola (Posio)";1351;3.97;340.6
"Ahonkylä";1881;5.00;376.2
"Aitoo";409;2.43;168.3
"Ajos";344;0.81;423.4
"Akonpohja";272;1.25;217.6
"Alahärmän kk.";2254;11.36;198.4
"Alajärven kt.";5121;24.68;207.5
"Alakylä";1523;8.88;171.6
"Alapitkä";372;1.38;270.5
"Alastaron kk.";1165;4.22;275.8
"Alaveteli";840;5.56;151.0
"Alavieskan kk.";1387;6.28;220.9
"Alavuden as.seutu";1318;6.54;201.7
"Alavuden kt.";4022;11.63;345.8
"Anttola";230;1.38;167.3
"Anttolankylä";881;3.28;269.0
"Arpela";268;1.69;158.8
"Artjärven kk.";403;2.58;156.4
"Asemakylä";842;4.43;190.2
"Askaisten kk.";490;2.94;166.8
"Askolan kk.";1324;5.61;236.0
"Auran as.seutu";2734;7.18;380.5
"Bergö";391;3.22;121.3
"Björkboda";222;1.35;164.5
"Björköby";287;2.75;104.4
"Blinkan";224;1.31;170.7
"Bosund";1002;2.80;357.7
"Bromarv";218;1.07;204.0
"Dagsmark";200;1.71;116.9
"Dragsfjärdin kk.";624;5.01;124.5
"Elimäen kk.";1394;4.19;332.9
"Enon kk.";1909;4.21;453.1
"Enonkosken kk.";586;1.87;312.7
"Enontekiön kk.";553;3.28;168.6
"Eskola";251;1.38;182.5
"Eteläinen";630;3.24;194.4
"Etelä-Paippinen";300;2.81;106.7
"Eugmo";490;2.37;206.8
"Eurajoen kk.";2657;6.95;382.6
"Eurakoski";895;4.12;217.4
"Euran kk.";6540;21.47;304.6
"Evijärven kk.";905;4.57;197.8
"Fiskari";511;2.42;211.0
"Forsby";347;4.02;86.3
"Forssan kt.";21520;36.85;584.0
"Girsnäs";259;1.92;134.9
"Godby";1255;6.09;206.1
"Haapajoki - Arkkukari";757;5.00;151.3
"Haapajärven kt.";4704;15.45;304.5
"Haapamäki";868;4.25;204.0
"Haapaveden kt.";4027;11.85;339.8
"Haikaperä";366;2.13;172.2
"Hailuodon kk.";535;5.48;97.6
"Haimoo";391;3.48;112.5
"Halkia";444;4.56;97.3
