"11s8 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2019"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2019";"Ahde";411;2.89;142.2
"2019";"Ahlainen";377;3.08;122.4
"2019";"Ahola (Posio)";1268;3.97;319.4
"2019";"Ahonkylä";2107;5.17;407.5
"2019";"Aitoo";396;2.43;163.0
"2019";"Ajos";325;0.98;331.6
"2019";"Akonpohja";228;1.38;165.2
"2019";"Alahärmän kk.";2153;12.37;174.1
"2019";"Alajärven kt.";5029;25.46;197.5
"2019";"Alakylä";1527;9.14;167.1
"2019";"Alapitkä";353;1.38;255.8
"2019";"Alastaron kk.";1119;4.40;254.3
"2019";"Alaveteli";803;5.35;150.1
"2019";"Alavieskan kk.";1281;6.33;202.4
"2019";"Alavuden as.seutu";1240;6.60;187.9
"2019";"Alavuden kt.";4004;11.99;333.9
"2019";"Anttola";322;2.50;128.8
"2019";"Anttolankylä";806;3.04;265.1
"2019";"Arpela";272;1.69;160.9
"2019";"Artjärven kk.";418;2.57;162.6
"2019";"Asemakylä (Ii)";785;4.59;171.0
"2019";"Askaisten kk.";472;2.87;164.5
"2019";"Askolan kk.";1312;6.09;215.4
"2019";"Auran as.seutu";2700;7.43;363.4
"2019";"Bergö";372;3.16;117.7
"2019";"Björkboda";212;1.41;150.4
"2019";"Björköby";282;2.94;95.9
"2019";"Blinkan";232;1.31;177.1
"2019";"Bosund";1013;3.19;317.6
"2019";"Dragsfjärdin kk.";574;5.13;111.9
"2019";"Elimäen kk.";1252;4.28;292.5
"2019";"Enon kk.";1765;4.17;423.3
"2019";"Enonkosken kk.";529;1.87;282.9
"2019";"Enontekiön kk.";528;3.33;158.6
"2019";"Eskola";251;1.31;191.6
"2019";"Eteläinen";587;3.30;177.9
"2019";"Etelä-Paippinen";319;2.87;111.1
"2019";"Eugmo";468;2.37;197.5
"2019";"Eurajoen kk.";3521;11.64;302.5
"2019";"Eurakoski";819;4.22;194.1
"2019";"Euran kk.";6327;21.71;291.4
"2019";"Evijärven kk.";868;4.46;194.6
"2019";"Fiskari";493;2.67;184.6
"2019";"Forsby";371;4.35;85.3
"2019";"Forssan kt.";21008;38.65;543.5
"2019";"Girsnäs";245;1.93;126.9
"2019";"Godby";1324;6.37;207.8
"2019";"Haapajoki - Arkkukari";687;4.86;141.4
"2019";"Haapajärven kt.";4435;16.07;276.0
"2019";"Haapamäki";781;4.25;183.8
"2019";"Haapaveden kt.";3811;12.01;317.3
"2019";"Haavisto";200;1.16;172.4
"2019";"Haikaperä";362;2.25;160.9
"2019";"Hailuodon kk.";513;5.56;92.3
"2019";"Haimoo";388;3.45;112.5
"2019";"Halkia";440;4.63;95.0
"2019";"Halkosaari";685;2.19;312.8
"2019";"Halla - Tiutinen";325;0.44;738.6
"2019";"Halli";927;4.19;221.2
"2019";"Halsuan kk.";482;3.12;154.5
"2019";"Haminan kt.";15380;34.85;441.3
"2019";"Hammasjärvi";201;2.17;92.6
"2019";"Hammaslahti";1469;4.39;334.6
"2019";"Hangon kt.";7329;13.61;538.5
"2019";"Hankasalmen as.seutu";751;3.21;234.0
"2019";"Hankasalmen kk.";1236;3.13;394.9
"2019";"Haraldsby";240;1.16;206.9
"2019";"Harrström";209;1.81;115.5
"2019";"Hartolan kk.";1431;5.35;267.5
"2019";"Hastinrinne";225;1.81;124.3
"2019";"Hauhon kk.";1127;3.02;373.2
"2019";"Haukivuoren as.seutu";745;2.74;271.9
"2019";"Heikkilä";760;2.81;270.5
"2019";"Heinolan kk.";2201;5.71;385.5
"2019";"Heinolan kt.";14231;16.58;858.3
"2019";"Heinävaara";462;2.05;225.4
"2019";"Heinäveden kk.";1407;3.74;376.2
"2019";"Helsingby";876;4.06;215.8
"2019";"Helsingin kt.";1305893;682.91;1912.2
"2019";"Hepola";1709;3.40;502.6
"2019";"Herrala";485;2.74;177.0
"2019";"Hikiä";1055;3.44;306.7
"2019";"Himangan kk.";1654;6.40;258.4
"2019";"Hinnerjoki";468;3.79;123.5
"2019";"Hinthaara";861;3.96;217.4
"2019";"Hirsilä";359;2.06;174.3
"2019";"Hirvaskangas";473;1.76;268.8
