"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2012"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Lumijoen kk.";1237;4.31;287.0
"Luoma-aho";253;1.93;131.1
"Luopa";277;3.10;89.4
"Luopioisten kk.";633;2.18;290.4
"Luumäen as.seutu";821;3.26;251.8
"Långvik";444;3.51;126.5
"Länkipohja";579;2.54;228.0
"Läyliäinen";925;3.06;302.3
"Maalahden kk.";2901;17.09;169.7
"Maaningan kk.";988;2.48;398.4
"Maarianhaminan kt.";13357;18.81;710.1
"Mahnala";212;1.25;169.6
"Maksamaan kk.";326;2.26;144.2
"Maksniemi";666;2.38;279.8
"Maliskylä";291;2.75;105.8
"Marinkainen";600;3.00;200.0
"Marttilan kk.";858;3.70;231.9
"Maskun kk.";4740;11.59;409.0
"Meijerinkylä";264;1.69;156.2
"Melalahti";827;1.27;651.2
"Mellilän as.seutu";482;1.80;267.8
"Merijärven kk.";475;2.02;235.1
"Merikaarto";1192;4.73;252.0
"Merikarvian kk.";1832;9.47;193.5
"Metsäkylä";279;3.02;92.4
"Miehikkälän kk.";616;2.31;266.7
"Mikkelin kt.";35967;35.59;1010.6
"Moikipää";498;2.73;182.4
"Monninkylä";1335;4.06;328.8
"Muhoksen kk.";6926;23.85;290.4
"Multian kk.";840;2.53;332.0
"Munakka";200;2.00;100.0
"Munsala";297;2.31;128.6
"Muonion kk.";1226;4.77;257.0
"Murto";1498;3.13;478.6
"Mustion asema";674;1.75;385.1
"Mustion ruukki";219;2.10;104.3
"Muuramen kk.";7025;12.40;566.5
"Muurlan kk.";930;3.26;285.3
"Muurola";988;2.90;340.7
"Muuruvesi";371;1.31;283.2
"Myllykoski";6219;16.04;387.7
"Myllymäki";265;1.85;143.2
"Mynämäen kk.";3996;13.19;303.0
"Myrskylän kk.";893;4.15;215.2
"Mäntsälän kk.";10992;16.92;649.6
"Mäntyharjun as.seutu";4032;10.24;393.8
"Mäntyluoto";432;1.84;234.8
"Mäntän kt.";8240;17.80;462.9
"Märynummi";1039;1.94;535.6
"Mäyry";212;1.70;124.7
"Mökkikylä";200;0.56;357.1
"Mörby";270;2.44;110.7
"Narva";468;1.92;243.8
"Nastolan kk.";12285;23.71;518.1
"Nauvon kk.";459;1.65;278.2
"Nerkoo";209;1.05;199.0
"Neuvoton";1397;4.93;283.4
"Niemenkylä";280;2.31;121.2
"Niemisjärvi";348;1.61;216.1
"Nihattula";418;2.53;165.2
"Niinisalo";495;2.08;238.0
"Niittumaa";754;6.63;113.7
"Nilsiän kt.";3208;7.04;455.7
"Nivalan kt.";5429;17.12;317.1
"Nivankylä";349;1.87;186.6
"Noormarkun kk.";4388;9.98;439.7
"Nostava";573;2.19;261.6
"Nuijamaa";255;1.04;245.2
"Nukari";387;2.81;137.7
"Nummela";13275;18.66;711.4
"Nummen kk.";524;2.31;226.8
"Nummi";3165;12.94;244.6
"Numminen";201;2.44;82.4
"Nurmeksen kt.";5348;12.34;433.4
"Nurmijärven kk.";7127;10.19;699.4
"Nuutajärvi";208;0.81;256.8
"Nämpnäs";232;2.54;91.3
"Närpiön kt.";3937;19.84;198.4
"Närvijoki";204;2.00;102.0
"Oinasjoki";201;1.06;189.6
"Oitti";1999;5.26;380.0
"Ojakkala";1441;4.15;347.2
"Ojakylä";285;1.75;162.9
"Oksava";276;2.25;122.7
"Olkijoki";216;1.63;132.5
"Olkkala";247;2.43;101.6
"Oravaisten kk.";1205;6.84;176.2
"Oravikoski";368;1.46;252.1
"Orimattilan kt.";9192;16.69;550.7
"Oripään kk.";744;2.88;258.3
"Oritlampi";227;1.59;142.8
"Oriveden kt.";6310;13.71;460.2
"Otalampi";997;4.96;201.0
"Otanmäki";695;1.50;463.3
"Otava";1495;4.52;330.8
"Oulaisten kt.";5626;13.68;411.3
"Oulun kt.";188279;192.07;980.3
"Outokummun kt.";4937;10.60;465.8
"Paatela";376;1.79;210.1
"Paattinen";1006;4.75;211.8
"Paavola";487;1.44;338.2
"Padasjoen kk.";1649;5.98;275.8
"Paihola";223;0.92;242.4
"Paimion kt.";8162;16.09;507.3
"Palojoki";327;2.44;134.0
"Paltamon kk.";1760;6.08;289.5
"Paltaniemi";324;2.50;129.6
"Panelia";934;6.67;140.0
"Pankakoski";749;2.68;279.5
"Paraisten kt.";9667;26.17;369.4
"Parhalahti";282;2.69;104.8
"Parikkalan kk.";1722;4.14;415.9
"Parkanon kt.";4565;13.70;333.2
"Parola";6711;15.98;420.0
"Pelkosenniemen kk.";374;1.56;239.7
"Pellesmäki - Vehmasmäki";505;4.19;120.5
"Pellon kk.";1990;6.87;289.7
"Pellosniemi";358;1.62;221.0
"Peltokorpi";468;3.13;149.5
"Peltosalmi";770;2.92;263.7
"Pennala";823;3.69;223.0
"Perhon kk.";886;3.18;278.6
"Pernajan kk.";484;2.19;221.0
"Perniön as.seutu";248;1.69;146.7
"Perniön kk.";2479;5.69;435.7
"Pertunmaan kk.";490;2.06;237.9
"Perälä";443;5.10;86.9
"Peräseinäjoen kk.";1629;7.95;204.9
"Petolahti";604;4.00;151.0
"Petsmo";369;3.10;119.0
"Petäjäveden kk.";1872;5.67;330.2
"Piehinki";393;3.17;124.0
"Pieksämäen kt.";13889;18.01;771.2
"Pielaveden kk.";2093;3.92;533.9
"Pietarsaaren kt.";20976;26.86;780.9
"Pihkainmäki";435;1.81;240.3
"Pihtiputaan kk.";2017;5.91;341.3
