"14x5 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2023"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2023";"Vuolijoen kk.";366;1.47;249.0
"2023";"Vuores";8042;3.68;2185.3
"2023";"Vähäkangas";298;1.87;159.4
"2023";"Vähäkyrön kk.";3148;20.76;151.6
"2023";"Vääksy";4778;9.96;479.7
"2023";"Vöyrin kk.";1639;8.64;189.7
"2023";"Ylihärmän kk.";2020;10.27;196.7
"2023";"Yli-Iin kirkons.";633;2.73;231.9
"2023";"Ylikiimingin kk.";649;2.67;243.1
"2023";"Ylimarkku";530;3.65;145.2
"2023";"Yliskulma";251;2.37;105.9
"2023";"Ylistaron kk.";2349;12.20;192.5
"2023";"Ylitornion kk.";1791;6.56;273.0
"2023";"Ylivieskan kt.";12616;29.70;424.8
"2023";"Ylämaan kk.";369;1.61;229.2
"2023";"Yläneen kk.";908;3.78;240.2
"2023";"Yppäri";311;3.28;94.8
"2023";"Ypäjän kk.";914;4.46;204.9
"2023";"Ähtärin kt.";3074;7.62;403.4
"2023";"Äkäslompolo";601;3.32;181.0
"2023";"Ämmänsaari";3714;8.44;440.0
"2023";"Äystö";265;2.44;108.6
"2023";"Äänekosken kt.";8880;14.73;602.9
"2023";"Ödkarby";348;2.84;122.5
