"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2014"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Ahde";360;2.11;170.6
"Ahlainen";384;3.08;124.7
"Ahola (Posio)";1431;3.98;359.5
"Ahola (Tervola)";210;1.75;120.0
"Ahonkylä";1820;4.94;368.4
"Aitoo";405;2.31;175.3
"Ajos";356;0.81;439.5
"Akonpohja";281;1.25;224.8
"Alahärmän kk.";2275;11.24;202.4
"Alajärven kt.";5143;24.24;212.2
"Alakylä";1510;8.82;171.2
"Alapitkä";397;1.38;287.7
"Alastaron kk.";1195;4.23;282.5
"Alaveteli";836;5.57;150.1
"Alavieskan kk.";1392;6.29;221.3
"Alavuden as.seutu";1345;6.58;204.4
"Alavuden kt.";4012;11.75;341.4
"Alhopakka";422;3.31;127.5
"Alikartano";308;0.90;342.2
"Anttola";227;1.31;173.3
"Anttolankylä";895;3.27;273.7
"Arpela";275;1.69;162.7
"Artjärven kk.";395;2.58;153.1
"Asemakylä";844;4.42;191.0
"Askaisten kk.";487;2.94;165.6
"Askolan kk.";1303;5.61;232.3
"Auran as.seutu";2674;7.22;370.4
"Bergö";399;3.25;122.8
"Björkboda";226;1.35;167.4
"Björköby";302;2.75;109.8
"Blinkan";232;1.31;177.1
"Bosund";972;2.86;339.9
"Bromarv";227;1.07;212.1
"Dagsmark";209;1.71;122.2
"Dragsfjärdin kk.";638;5.02;127.1
"Elimäen kk.";1385;4.19;330.5
"Enon kk.";1929;4.25;453.9
"Enonkosken kk.";606;1.90;318.9
"Enontekiön kk.";542;3.31;163.7
"Epaala";2675;8.03;333.1
"Eskola";257;1.38;186.2
"Eteläinen";629;3.24;194.1
"Etelä-Paippinen";305;2.81;108.5
"Eugmo";506;2.32;218.1
"Eurajoen kk.";2630;7.03;374.1
"Eurakoski";912;4.11;221.9
"Euran kk.";6640;21.45;309.6
"Evijärven kk.";933;4.52;206.4
"Fiskari";474;2.44;194.3
"Forsby";352;4.04;87.1
"Forssan kt.";21772;36.74;592.6
"Girsnäs";269;1.91;140.8
"Godby";1271;6.09;208.7
"Haapajoki - Arkkukari";718;4.88;147.1
"Haapajärven kt.";4729;15.45;306.1
"Haapamäki";908;4.25;213.6
"Haapaveden kt.";4026;11.73;343.2
"Haikaperä";359;2.13;168.5
"Hailuodon kk.";532;5.50;96.7
"Haimoo";411;3.41;120.5
"Halkia";457;4.56;100.2
"Halkosaari";691;2.13;324.4
"Halla - Tiutinen";345;0.45;766.7
"Halli";1005;3.95;254.4
"Halsuan kk.";503;2.97;169.4
"Haminan kt.";16027;34.91;459.1
"Hammasjärvi";224;2.23;100.4
"Hammaslahti";1541;4.40;350.2
"Hangon kt.";8033;13.88;578.7
"Hankasalmen as.seutu";883;3.21;275.1
"Hankasalmen kk.";1301;3.08;422.4
"Haraldsby";244;1.13;215.9
"Harrström";224;1.81;123.8
"Hartolan kk.";1678;5.33;314.8
"Hauhon kk.";1175;2.90;405.2
"Haukivuoren as.seutu";806;2.74;294.2
"Hausjärven kk.";1119;3.06;365.7
"Heikkilä";755;2.50;302.0
"Heinlammi";207;1.62;127.8
"Heinolan kk.";2400;5.71;420.3
"Heinolan kt.";14855;16.38;906.9
"Heinävaara";515;2.05;251.2
"Heinäveden kk.";1524;3.80;401.1
"Helsingby";1317;8.21;160.4
"Helsingin kt.";1214210;669.31;1814.1
"Hepola";1819;3.31;549.5
"Herrala";502;2.68;187.3
"Herunen";574;1.19;482.4
"Hiltulanlahti";234;1.81;129.3
"Himangan kk.";1771;6.38;277.6
"Hinnerjoki";460;3.81;120.7
"Hinthaara";894;3.84;232.8
"Hirsilä";386;2.06;187.4
"Hirvaskangas";383;1.63;235.0
"Hirvensalmen kk.";850;1.70;500.0
"Hollolan kk.";608;3.49;174.2
"Honkajoen kk.";778;3.32;234.3
"Huhmari";339;2.88;117.7
"Huittula";364;1.75;208.0
"Humppilan as.seutu";1468;5.79;253.5
"Huttukylä";298;1.72;173.3
"Hyrynsalmen kk.";1352;3.61;374.5
"Hytti";288;2.21;130.3
"Hyvinkään kt.";43038;35.94;1197.5
"Hähkänä";982;2.63;373.4
"Häijää";381;1.69;225.4
"Hämeenkoski";1074;3.84;279.7
"Hämeenlinnan kt.";49847;47.06;1059.2
"Ihode";634;4.00;158.5
"Iin Hamina";6520;20.57;317.0
"Iisalmen kt.";15605;18.48;844.4
"Iitiä";270;1.68;160.7
"Iittala";2360;6.54;360.9
"Ikaalisten kt.";4085;6.47;631.4
"Ikkala";273;2.05;133.2
"Ilmajoki - Kurikka";13654;55.32;246.8
"Ilola";338;2.54;133.1
"Ilomantsin kk.";2942;7.22;407.5
"Imatran kt.";28896;55.46;521.0
"Inarin kk.";581;2.68;216.8
"Inkere";679;2.13;318.8
"Inkeroinen";5205;13.35;389.9
"Inkoon kk.";2213;7.84;282.3
"Irjanne";299;2.41;124.1
"Isnäs";295;1.35;218.5
"Isojoen kk.";862;3.69;233.6
"Isokoski";394;2.94;134.0
"Isokylä - Kallaanvaara";1018;4.28;237.9
"Isokyrön kk.";2517;12.57;200.2
"Iso-Vimma";555;3.51;158.1
"Itäkylä";206;2.50;82.4
"Ivalo";3080;7.41;415.7
"Jaalan kk.";633;2.13;297.2
"Jakkukylä";221;1.40;157.9
"Jalasjärven kk.";3304;9.30;355.3
"Janakkalan kk.";266;1.75;152.0
"Jepuan as. seutu";450;2.96;152.0
"Joensuun kt.";65686;69.49;945.3
"Jokela (Tuusula)";6122;8.81;694.9
"Jokikylä";330;4.02;82.1
"Jokimaa - Vestra";329;1.44;228.5
"Jokipii";297;1.72;172.7
"Joroisten kk.";1942;5.11;380.0
"Joutsan kk.";2399;5.75;417.2
"Joutsenon kk.";7023;15.80;444.5
"Juankosken kirkons.";2154;6.24;345.2
"Jurvan kk.";1980;9.19;215.5
"Juuan kk.";2359;6.93;340.4
"Juvan kk.";3358;6.86;489.5
"Jyrinki";358;2.77;129.2
"Jyväskylän kt.";120306;100.36;1198.7
"Jäkärlä";3652;7.56;483.1
"Jämijärven kk.";722;3.00;240.7
"Jämsän kt.";13200;30.87;427.6
"Jäppilän kk.";315;1.11;283.8
"Järvelä";2769;8.63;320.9
"Järvensuu";1036;2.54;407.9
"Järvikylä (Nivala)";369;2.94;125.5
"Järvikylä (Sievi)";334;2.38;140.3
"Kaanaa";1041;4.39;237.1
"Kaasmarkku";250;1.55;161.3
"Kaavin kk.";1430;3.14;455.4
"Kainasto";207;2.38;87.0
"Kaipiaisten as.seutu";254;1.75;145.1
"Kaipola";1137;5.30;214.5
"Kaivola";927;2.56;362.1
"Kajaanin kt.";30364;27.98;1085.2
"Kakkuri";256;2.54;100.8
"Kalajoen hiekkasärkät";764;5.68;134.5
"Kalajoen kk.";6579;21.68;303.5
"Kalanti";1224;3.60;340.0
"Kangas";254;2.00;127.0
"Kangaslammin kk.";249;0.77;323.4
"Kangasniemen kk.";2846;5.90;482.4
"Kankaanpää (Köyliö)";554;3.33;166.4
"Kankaanpään kt.";8001;15.89;503.5
"Kannonkosken kk.";533;2.03;262.6
"Kannuksen kt.";3812;11.92;319.8
"Karijoen kk.";546;3.38;161.5
"Karjaan kt.";8036;13.80;582.3
"Karjalohjan kk.";610;2.90;210.3
"Karkkilan kt.";7537;15.54;485.0
"Karkku";571;3.03;188.4
"Karstulan kk.";2171;4.98;435.9
"Karttulan kk.";906;2.81;322.4
"Karunki";479;2.23;214.8
"Karvian kk.";835;2.86;292.0
"Kaskisten kt.";1295;2.90;446.6
"Kasuri";339;1.79;189.4
"Kattby";353;1.63;216.6
"Kauhajoen kt.";8942;32.68;273.6
"Kauhavan kt.";5626;19.94;282.1
"Kaukas";223;0.61;365.6
"Kaukjärvi";236;2.33;101.3
"Kaukonen";255;1.97;129.4
"Kausala";3871;9.06;427.3
"Kaustisen kk.";4340;18.96;228.9
"Keiteleen kk.";1167;3.25;359.1
"Kemie";1576;4.56;345.6
"Kemijärven kt.";4427;9.53;464.5
"Kemin kt.";27558;49.24;559.7
"Kemiön kk.";1350;5.88;229.6
"Kepola - Pajula";753;4.50;167.3
"Kerimäen kk.";2424;5.24;462.6
"Kerkkoo";737;4.25;173.4
"Kestilän kk.";581;2.37;245.1
"Kesälahden kk.";964;3.12;309.0
"Keuruun kt.";6186;8.75;707.0
"Kierälahti";464;1.81;256.4
"Kihniön kk.";715;2.51;284.9
"Kiihtelysvaaran kk.";623;1.88;331.4
"Kiikalan kk.";302;1.13;267.3
"Kiikka";1252;5.71;219.3
"Kiikoisten kk.";525;3.29;159.6
"Kiimingin kk.";5585;14.96;373.3
"Kilpilahti";531;4.44;119.6
"Kilvakkala";286;1.44;198.6
"Kinnulan kk.";879;3.24;271.3
"Kinnulanlahti";209;1.69;123.7
"Kintaus";276;1.43;193.0
"Kipuksenkulma";205;1.56;131.4
"Kirkkoaho";646;4.05;159.5
"Kirkkonummen kk.";19714;37.18;530.2
"Kiteen kt.";4789;9.24;518.3
"Kittilän kk.";2296;4.55;504.6
"Kitula";605;2.29;264.2
"Kiuruveden kt.";4337;7.20;602.4
"Kivijärven kk.";633;2.41;262.7
"Klamila";288;2.75;104.7
"Knivsund";240;2.09;114.8
"Knuuttila";361;3.87;93.3
"Kodisjoen kk.";341;2.38;143.3
"Kokemäen kt.";4545;15.05;302.0
"Kokkolan kt.";36161;47.08;768.1
"Kolarin kk.";1144;3.79;301.8
"Kolho";690;2.80;246.4
"Kolla";545;4.81;113.3
"Kolmiranta";611;2.83;215.9
"Kolppi";3089;15.05;205.2
"Konginkangas";496;1.45;342.1
"Konneveden kk.";1106;3.72;297.3
"Kontiolahden kk.";3460;8.88;389.6
"Kontiomäki";451;1.94;232.5
"Korhoskylä";212;1.03;205.8
"Koria";4069;7.68;529.8
"Korkeakoski";928;4.29;216.3
"Koroiskylä";303;3.37;89.9
"Korpilahden kk.";2524;6.91;365.3
"Korppoon kk.";249;1.76;141.5
"Korsnäsin kk.";739;3.44;214.8
"Kortesjärven kk.";647;3.50;184.9
"Kosken kk.";1246;3.99;312.3
"Koskenkylä (Loviisa)";1085;4.04;268.6
"Koskenkylä (Vesilahti)";331;1.75;189.1
"Koski (Ulvila)";361;1.93;187.0
"Koskö";314;2.30;136.5
"Kotkan kt.";52600;68.96;762.8
"Kouvolan kt.";49339;61.64;800.4
"Kristiinankaupungin kt.";2718;6.13;443.4
"Kruunupyyn kk.";1757;9.10;193.1
"Kuggom";277;3.06;90.5
"Kuhmalahden kk.";337;2.69;125.3
"Kuhmoisten kk.";1301;4.51;288.5
"Kuhmon kt.";5621;9.00;624.6
"Kulho";685;5.24;130.7
"Kuluntalahti";446;1.69;263.9
"Kunnarla";306;2.24;136.6
"Kuohu";393;1.97;199.5
"Kuopion kt.";86034;47.47;1812.4
"Kuortaneen kk.";1295;4.57;283.4
"Kuortti";275;1.80;152.8
"Kurenalus";4136;8.18;505.6
"Kurkimäki";649;1.97;329.4
"Kurun kk.";1039;3.49;297.7
"Kustavin kk.";341;1.63;209.2
"Kuukanniemi";708;1.45;488.3
"Kuusa";283;2.16;131.0
"Kuusamon kt.";8585;16.27;527.7
"Kuusjoen kk.";520;1.88;276.6
"Kuuslahti";218;1.87;116.6
"Kuvansi";998;3.47;287.6
"Kylmäkosken kirkons.";667;2.38;280.3
"Kyläsaari";6678;18.32;364.5
"Kyrö";1795;5.44;330.0
"Kyröskoski";6854;16.30;420.5
"Kyyjärven kk.";821;3.62;226.8
"Kälviän kirkons.";2402;8.43;284.9
