"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2014"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Kämmenniemi";903;1.27;711.0
"Kärjenniemi";650;2.47;263.2
"Kärsämäen kk.";1200;4.87;246.4
"Käärmelahti";376;2.17;173.3
"Lahden kt.";117424;109.31;1074.2
"Laihian kk.";6628;23.07;287.3
"Laitilan kt.";5481;16.56;331.0
"Lammala";201;1.41;142.6
"Lammin kk.";2985;6.12;487.7
"Lampinsaari";254;0.63;403.2
"Langansböle";891;2.38;374.4
"Lapijoki";825;3.91;211.0
"Lapin kk.";1503;5.92;253.9
"Lapinjärven kk.";783;2.85;274.7
"Lapinkylä";689;5.76;119.6
"Lapinlahden kk.";3650;7.24;504.1
"Lappajärven kk.";1478;6.64;222.6
"Lappeenrannan kt.";55429;54.56;1015.9
"Lappila";313;1.63;192.0
"Lappohja";547;2.01;272.1
"Lapuan kt.";10710;26.80;399.6
"Lapväärtti";1539;10.77;142.9
"Laukaan kk.";7784;17.53;444.0
"Laukkoski";376;3.18;118.2
"Launonen";1274;4.38;290.9
"Lauttakylä";6778;21.65;313.1
"Lavian kk.";862;2.93;294.2
"Lehmijärvi";202;1.80;112.2
"Lehtimäki";661;3.92;168.6
"Leivonmäen kk.";391;1.56;250.6
"Lemin kk.";702;1.37;512.4
"Lempiskallio";252;1.69;149.1
"Lemun kk.";1325;5.50;240.9
"Lepaa";232;1.47;157.8
"Lepplax";233;1.98;117.7
"Leppäkoski";344;1.90;181.1
"Leppälampi";253;2.38;106.3
"Leppävesi";2823;6.31;447.4
"Leppävirran kk.";4300;8.21;523.8
"Lestijärven kk.";290;1.05;276.2
"Liakka";210;1.48;141.9
"Liedon as.seutu";1068;4.24;251.9
"Lieksan kt.";7637;15.15;504.1
"Lievestuore";2388;7.02;340.2
"Liljendalin kk.";487;3.32;146.7
"Lillby";345;2.32;148.7
"Limingan kk.";4874;10.86;448.8
"Linna";235;2.23;105.4
"Linnanpelto";280;2.12;132.1
"Liperin kk.";1481;3.53;419.5
"Lohjan kt.";33612;45.02;746.6
"Lohtajan kk.";736;4.06;181.3
"Loimaan kt.";9014;17.52;514.5
"Lokalahti";407;1.63;249.7
"Lopen kk.";2282;7.13;320.1
"Louhioja";203;1.50;135.3
"Loviisan kt.";7239;12.53;577.7
"Lumijoen kk.";1254;4.31;291.0
"Luoma-aho";263;1.93;136.3
"Luopa";299;3.41;87.7
"Luopajärvi";211;2.06;102.4
"Luopioisten kk.";624;2.18;286.2
"Luumäen as.seutu";812;3.16;257.0
"Luvian kk.";1915;7.44;257.4
"Långvik";420;3.45;121.7
"Länkipohja";559;2.54;220.1
"Läyliäinen";893;3.06;291.8
"Maalahden kk.";2921;17.09;170.9
"Maaningan kk.";957;2.66;359.8
"Maarianhaminan kt.";13638;18.81;725.0
"Mahnala";225;1.25;180.0
"Maksamaan kk.";325;2.07;157.0
"Maksniemi";617;2.38;259.2
"Maliskylä";283;2.75;102.9
"Marinkainen";590;2.88;204.9
"Marttilan kk.";890;3.82;233.0
"Maskun kk.";4833;11.84;408.2
"Meijerinkylä";264;1.69;156.2
"Melalahti";870;1.40;621.4
"Mellilän as.seutu";454;1.80;252.2
"Merijärven kk.";451;1.90;237.4
"Merikaarto";1207;4.66;259.0
"Merikarvian kk.";1858;9.65;192.5
"Metsäkylä";280;3.02;92.7
"Miehikkälän kk.";609;2.44;249.6
"Mikkelin kt.";36404;36.16;1006.7
"Moikipää";486;2.79;174.2
"Monninkylä";1358;4.12;329.6
"Muhoksen kk.";7019;24.50;286.5
"Multian kk.";815;2.62;311.1
"Munakka";218;2.06;105.8
"Munsala";296;2.56;115.6
"Muonion kk.";1159;4.77;243.0
"Murto";1515;3.50;432.9
"Mustion asema";676;1.75;386.3
"Mustion ruukki";227;2.12;107.1
"Muuramen kk.";7032;12.53;561.2
"Muurlan kk.";912;3.32;274.7
"Muurola";956;2.90;329.7
"Muuruvesi";358;1.31;273.3
"Myllykoski";6096;15.72;387.8
"Myllymäki";248;1.97;125.9
"Mynämäen kk.";3969;13.38;296.6
"Myrskylän kk.";895;4.27;209.6
"Mäntsälän kk.";11219;17.17;653.4
"Mäntyharjun as.seutu";3938;10.36;380.1
"Mäntyluoto";404;1.84;219.6
"Mäntän kt.";8040;19.09;421.2
"Märynummi";1017;1.88;541.0
"Mäyry";203;1.70;119.4
"Mörby";288;2.44;118.0
"Möttönen";240;2.32;103.4
"Narva";457;1.91;239.3
"Nastolan kk.";12123;23.42;517.6
"Nauvon kk.";477;1.71;278.9
"Nerkoo";214;1.05;203.8
"Neuvoton";1382;4.93;280.3
"Niemenkylä";259;2.31;112.1
"Niemisjärvi";349;1.61;216.8
"Nihattula";439;2.53;173.5
"Niinisalo";476;2.08;228.8
"Niittumaa";766;6.69;114.5
"Nilsiän kt.";3142;7.17;438.2
"Nivalan kt.";5414;17.99;300.9
"Nivankylä";349;2.12;164.6
"Noormarkun kk.";4394;10.23;429.5
"Norra Vallgrund - Södra Vallgrund";546;5.25;104.0
"Nostava";583;2.19;266.2
"Nuijamaa";240;1.04;230.8
"Nukari";378;2.81;134.5
"Nummela";13605;18.91;719.5
"Nummen kk.";530;2.31;229.4
"Nummi";3195;13.25;241.1
"Numminen";331;3.89;85.1
"Nurmeksen kt.";5245;12.40;423.0
"Nurmijärven kk.";7308;10.62;688.1
"Nämpnäs";269;2.78;96.8
"Närpiön kt.";3982;19.91;200.0
"Oinasjoki";206;1.06;194.3
"Oitti";2018;5.26;383.7
"Ojakkala";1452;4.34;334.6
"Ojakylä";310;2.00;155.0
"Oksava";305;3.00;101.7
"Olkijoki";212;1.69;125.4
"Olkkala";252;2.43;103.7
"Oravaisten kk.";1256;7.02;178.9
"Oravikoski";371;1.46;254.1
"Orimattilan kt.";9171;16.75;547.5
"Oripään kk.";694;2.88;241.0
"Oritlampi";218;1.47;148.3
"Oriveden kt.";6340;13.71;462.4
"Otalampi";1011;4.96;203.8
"Otanmäki";692;1.50;461.3
"Otava";1459;4.59;317.9
"Oulaisten kt.";5498;13.93;394.7
"Oulun kt.";193817;197.05;983.6
"Outokummun kt.";4825;10.98;439.4
"Paatela";365;1.79;203.9
"Paattinen";988;4.75;208.0
"Paavola";475;1.44;329.9
"Padasjoen kk.";1592;6.05;263.1
"Paihola";232;0.92;252.2
"Paimion kt.";8160;16.40;497.6
"Palojoki";303;2.56;118.4
"Paltamon kk.";1630;6.08;268.1
"Paltaniemi";310;2.44;127.0
"Panelia";929;6.67;139.3
"Pankakoski";741;2.62;282.8
"Paraisten kt.";9665;27.23;354.9
"Parhalahti";310;2.94;105.4
"Parikkalan kk.";1675;4.14;404.6
"Parkanon kt.";4511;14.01;322.0
"Parola";6664;15.98;417.0
"Pelkosenniemen kk.";358;1.56;229.5
"Pellesmäki - Vehmasmäki";558;4.31;129.5
"Pellon kk.";1937;6.87;282.0
"Pellosniemi";334;1.62;206.2
"Peltokorpi";503;3.13;160.7
"Peltosalmi";774;3.04;254.6
"Pennala";862;3.81;226.2
"Perhon kk.";865;3.18;272.0
"Pernajan kk.";477;2.44;195.5
"Perniön as.seutu";238;1.69;140.8
"Perniön kk.";2465;5.69;433.2
"Pertunmaan kk.";476;2.06;231.1
"Perälä";423;5.22;81.0
"Peräseinäjoen kk.";1624;8.16;199.0
"Petolahti";608;4.19;145.1
"Petsmo";380;3.10;122.6
"Petäjäveden kk.";1857;5.73;324.1
"Piehinki";376;3.22;116.8
"Pieksämäen kt.";13689;18.01;760.1
"Pielaveden kk.";1983;3.95;502.0
"Pietarsaaren kt.";20936;27.40;764.1
"Pihkainmäki";434;1.88;230.9
"Pihtiputaan kk.";1944;5.91;328.9
"Piippolan kk.";559;2.63;212.5
"Pirttikylä";427;3.30;129.4
"Pohjakylä";437;2.11;207.1
"Pohjan kk.";2134;6.77;315.2
"Pohjoisjärvi";212;1.34;158.2
"Poikko";224;1.61;139.1
"Polvijärven kk.";1405;4.58;306.8
"Pomarkun kk.";1375;5.42;253.7
"Porin kt.";84509;120.61;700.7
"Pornaisten kk.";2125;6.52;325.9
"Porvoon kt.";37657;47.02;800.9
"Puhos";212;0.81;261.7
"Pukkilan kk.";791;2.57;307.8
"Pulkkilan kk.";816;3.70;220.5
"Punkalaitumen kk.";1294;5.17;250.3
"Punkasalmi";1404;2.63;533.8
"Puolangan kk.";1589;3.63;437.7
"Purmo";341;3.38;100.9
"Purola";279;2.40;116.3
"Pusula";766;1.92;399.0
"Puuluoto";278;0.75;370.7
"Puumalan kk.";1159;3.27;354.4
"Pyhe";319;2.03;157.1
"Pyhtään kk.";709;3.76;188.6
"Pyhäjoen kk.";1675;5.22;320.9
"Pyhäniemi";310;1.87;165.8
"Pyhännän kk.";842;2.09;402.9
"Pyhäsalmi";2544;6.65;382.6
"Pylkönmäen kk.";316;1.19;265.5
"Pännäinen";964;5.99;160.9
"Päntäne";225;1.56;144.2
"Pöljä";408;3.79;107.7
"Raahen kt.";19153;41.38;462.9
"Raippaluoto";712;3.88;183.5
"Rajamäki";6450;13.16;490.1
"Rangsby";284;1.63;174.2
"Rantasalmen kk.";1494;3.80;393.2
"Rantsilan kk.";838;3.37;248.7
"Ranuan kk.";1990;5.06;393.3
"Rasila";2707;6.12;442.3
"Rauman kt.";33773;51.95;650.1
"Rautalammin kk.";1601;4.68;342.1
"Rautavaaran kk.";778;2.24;347.3
"Rautio";393;2.34;167.9
"Rautionsaari";1087;6.04;180.0
"Rautjärven as.seutu";228;1.21;188.4
"Reijola";3250;7.13;455.8
"Reisjärven kk.";1207;4.15;290.8
"Rengon kk.";1151;4.20;274.0
"Renum - Jakari";293;2.81;104.3
"Reposaari";802;1.54;520.8
"Revonlahti";442;2.37;186.5
"Riihikoski";1594;5.94;268.4
"Riihimäen kt.";28269;30.47;927.8
"Riskunmäki";206;0.81;254.3
"Ristiinan kk.";2305;4.29;537.3
"Ristijärven kk.";614;2.25;272.9
"Risö";2576;8.94;288.1
"Rova";322;0.63;511.1
"Rovaniemen kt.";51530;56.01;920.0
"Ruka";227;3.76;60.4
"Ruotanen";456;2.25;202.7
"Ruotsalo - Peitso";270;1.88;143.6
"Ruotsinpyhtään kk.";489;1.97;248.2
"Ruoveden kk.";2011;6.16;326.5
"Ruukki";1215;4.39;276.8
"Ruutana";3552;9.46;375.5
"Rymättylän kk.";807;2.38;339.1
"Ryttylä";1676;3.56;470.8
"Rääkkylän kk.";667;2.31;288.7
"Röykkä";1682;3.75;448.5
"Saarijärven kt.";5206;13.06;398.6
"Saariselkä";305;2.19;139.3
"Sahalahden kk.";1171;3.28;357.0
"Saimaanharju";1907;2.89;659.9
"Sallan kk.";1707;3.79;450.4
"Salon kt.";29989;38.21;784.8
"Sammatin kk.";976;4.09;238.6
"Saukkola";1028;4.23;243.0
"Sauvon kk.";1251;3.81;328.3
"Savijärvi";227;1.31;173.3
"Savitaipaleen kk.";1910;5.92;322.6
"Savonlinnan kt.";22876;22.68;1008.6
"Savonrannan kk.";445;2.00;222.5
"Savukosken kk.";445;2.25;197.8
"Seinäjoen kt.";47888;53.94;887.8
"Sieppijärvi";225;1.41;159.6
"Sievin kk.";1825;4.53;402.9
"Siikaisten kk.";468;2.04;229.4
"Siikajoenkylä";460;2.44;188.5
"Siilinjärven kk.";11518;22.88;503.4
"Siltakylä";2863;10.51;272.4
"Simon as.seutu";856;3.07;278.8
"Simon kk.";242;1.80;134.4
"Simpele";1778;5.03;353.5
"Sinettä";462;2.24;206.3
"Sippola";203;1.47;138.1
"Sirkka";618;6.91;89.4
"Siuntion as.seutu";2288;3.43;667.1
"Siuntion kk.";366;1.88;194.7
"Siuro";2427;5.47;443.7
"Sodankylän kk.";5309;12.88;412.2
"Soinin kk.";1073;3.90;275.1
"Soinlahti";279;2.76;101.1
"Soklot";293;2.31;126.8
"Sokoja";209;1.44;145.1
"Someron kt.";5129;12.25;418.7
"Sonkajärven kk.";1427;3.02;472.5
"Sorsakoski";779;2.48;314.1
"Sotkia";220;1.76;125.0
"Storby";392;2.95;132.9
"Stormi";233;1.93;120.7
"Störsvik";276;1.42;194.4
"Sukeva";407;1.83;222.4
"Sulkavan kk.";1189;3.30;360.3
"Sumiaisten kk.";451;1.41;319.9
"Sundom";3748;16.09;232.9
"Suolahden kt.";4403;8.59;512.6
"Suomenlinna";783;0.62;1262.9
"Suomussalmen kk.";911;2.18;417.9
"Suonenjoen kt.";5274;12.06;437.3
"Suopelto";227;1.38;164.5
"Syrjäntaka";543;2.37;229.1
"Sysmän kk.";2102;6.20;339.0
"Syvänniemi";236;1.29;182.9
"Säkylän kk.";3142;9.72;323.3
"Sälinkää";260;1.69;153.8
"Särkisalmi";444;2.56;173.4
"Sääksjärvi";262;2.47;106.1
"Söderby";550;4.57;120.4
"Söderkulla";8000;37.04;216.0
"Söyrylä";203;1.88;108.0
"Söörmarkku";609;3.06;199.0
"Taalintehdas";1180;3.71;318.1
"Taavetti";2158;5.00;431.6
"Taipalsaaren kk.";841;2.46;341.9
"Taivalkosken kk.";1945;5.10;381.4
"Taivassalon kk.";630;3.00;210.0
"Takamaa";520;3.05;170.5
"Tammisaaren kt.";8739;12.14;719.9
"Tampereen kt.";325025;270.65;1200.9
"Tarvasjoen kk.";892;3.61;247.1
"Tavastila";566;3.79;149.3
"Teerijärvi";1014;4.97;204.0
"Teijo";373;2.36;158.1
"Tenhola";760;2.94;258.5
"Teponmäki";397;3.18;124.8
"Tervakoski";4200;8.63;486.7
"Tervolan kk.";1084;3.17;342.0
"Tervon kk.";538;1.72;312.8
"Tesjoki";961;2.68;358.6
"Teuvan kk.";2866;15.53;184.5
"Tiistenjoki";236;2.04;115.7
"Tikkakoski";4178;5.75;726.6
"Tirisenkallio";203;1.25;162.4
"Tiukka";245;1.86;131.7
"Toholammin kk.";1664;7.54;220.7
"Toija";571;1.97;289.8
"Toijalan kt.";8429;16.30;517.1
"Toivakan kk.";972;2.78;349.6
"Toivala - Vuorela";5525;9.46;584.0
"Tolpanniemi";1245;2.06;604.4
"Torkkola";210;1.74;120.7
"Tornion kt.";17181;35.20;488.1
"Träskby";586;5.21;112.5
"Tupos";2824;4.69;602.1
"Turenki";7638;13.72;556.7
"Turun kt.";260367;260.23;1000.5
"Tuunaansaari";205;1.22;168.0
"Tuupovaaran kk.";558;2.05;272.2
"Tuuri";762;3.94;193.4
"Tuusniemen kk.";1069;2.85;375.1
"Tyrnävän kk.";3004;6.94;432.9
"Töysän kk.";957;5.03;190.3
"Uimaharju";1430;5.69;251.3
"Untamala";349;3.37;103.6
"Uotsola";1098;3.66;300.0
"Urjalan kk.";2327;8.30;280.4
"Utajärven kk.";1357;4.60;295.0
"Utsjoen kk.";326;1.39;234.5
"Utti";416;2.42;171.9
"Uudenkaarlepyyn kt.";3366;6.87;490.0
"Uudenkaupungin kt.";10085;17.67;570.7
"Uuraisten kk.";1120;3.94;284.3
"Vaalan kk.";1317;2.84;463.7
"Vaasan kt.";66911;67.58;990.1
"Vahdon kk.";1137;4.00;284.3
"Valkeakosken kt.";17048;19.23;886.5
"Valkeala";6013;10.73;560.4
"Valtimon kk.";1077;3.45;312.2
"Vammalan kt.";10438;19.85;525.8
"Vampulan kk.";500;2.54;196.9
"Varkauden kt.";19838;31.91;621.7
"Varpaisjärven kk.";1182;3.16;374.1
"Vartsala";275;1.32;208.3
"Vasarainen";389;3.69;105.4
"Vasarla";280;1.94;144.3
"Vaskiluoto";353;2.41;146.5
"Vaskio";305;1.38;221.0
"Vastamäki";575;3.54;162.4
"Vattukylä";242;1.75;138.3
"Vaulammi";204;1.81;112.7
"Vehmersalmen kk.";591;1.12;527.7
"Veikkaala";223;1.39;160.4
"Veikkola";6456;19.49;331.2
"Veneskoski";324;2.10;154.3
"Vesala";685;2.01;340.8
"Vesanka";832;4.57;182.1
"Vesannon kk.";850;2.71;313.7
"Vesilahden kk.";1664;4.30;387.0
"Vesivehmaa";391;3.62;108.0
"Vieremän kk.";1394;2.61;534.1
"Vierumäki";431;2.63;163.9
"Vihannin kk.";1168;3.47;336.6
"Vihdin kk.";3746;6.99;535.9
"Viialan kk.";5403;11.58;466.6
"Viinijärvi";818;3.40;240.6
"Viitasaaren kt.";3784;6.67;567.3
