"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2016"

"Vuosi";"Taajama";"Väkiluku";"Maapinta-ala, km²";"Väestöntiheys"
"2016";"Ylitornion kk.";1926;6.69;288.0
"2016";"Ylivieskan kt.";12378;27.53;449.7
"2016";"Ylämaan kk.";406;1.80;225.0
"2016";"Yläneen kk.";948;4.03;235.3
"2016";"Yppäri";345;3.00;115.0
"2016";"Ypäjän kk.";957;3.92;243.9
"2016";"Äetsän kk.";2210;9.71;227.5
"2016";"Ähtärin kt.";3438;7.42;463.3
"2016";"Ähtävä";796;4.94;161.0
"2016";"Äkäslompolo";459;4.86;94.5
"2016";"Ämmänsaari";4172;8.55;487.7
"2016";"Äystö";310;2.44;127.2
"2016";"Äänekosken kt.";8551;10.18;839.7
"2016";"Ödkarby";414;3.55;116.7
