"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2013"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Ahde";369;2.11;174.9
"Ahlainen";383;3.08;124.4
"Ahola (Posio)";1426;3.98;358.3
"Ahola (Tervola)";226;1.75;129.1
"Ahonkylä";1756;4.94;355.5
"Aitoo";419;2.31;181.4
"Ajos";350;0.81;432.1
"Akonpohja";278;1.25;222.4
"Alahärmän kk.";2300;11.24;204.6
"Alajärven kt.";5165;24.12;214.1
"Alakylä";1493;8.82;169.3
"Alapitkä";405;1.38;293.5
"Alastaron kk.";1216;4.23;287.5
"Alaveteli";823;5.57;147.8
"Alavieskan kk.";1421;6.29;225.9
"Alavuden as.seutu";1349;6.58;205.0
"Alavuden kt.";4070;11.64;349.7
"Alhopakka";424;3.31;128.1
"Alikartano";275;0.90;305.6
"Anttola";210;1.19;176.5
"Anttolankylä";898;3.27;274.6
"Arpela";284;1.69;168.0
"Artjärven kk.";378;2.45;154.3
"Asemakylä";855;4.42;193.4
"Askaisten kk.";481;2.94;163.6
"Askolan kk.";1293;5.61;230.5
"Auran as.seutu";2634;7.16;367.9
"Bergö";395;3.15;125.4
"Björkboda";223;1.35;165.2
"Björköby";277;2.63;105.3
"Blinkan";221;1.19;185.7
"Bosund";965;2.86;337.4
"Bromarv";233;1.07;217.8
"Dagsmark";217;1.71;126.9
"Dragsfjärdin kk.";643;5.02;128.1
"Elimäen kk.";1375;4.19;328.2
"Enon kk.";1955;4.25;460.0
"Enonkosken kk.";626;1.90;329.5
"Enontekiön kk.";561;3.31;169.5
"Epaala";2691;8.34;322.7
"Eskola";262;1.38;189.9
"Eteläinen";639;3.24;197.2
"Etelä-Paippinen";310;2.87;108.0
"Eugmo";514;2.29;224.5
"Eurajoen kk.";2600;7.03;369.8
"Eurakoski";922;4.11;224.3
"Euran kk.";6636;21.45;309.4
"Evijärven kk.";970;4.39;221.0
"Fiskari";455;2.44;186.5
"Forsby";351;4.04;86.9
"Forssan kt.";21944;36.40;602.9
"Gesterby";265;2.50;106.0
"Girsnäs";277;1.91;145.0
"Godby";1248;6.09;204.9
"Gåsgårdsträsket";210;0.50;420.0
"Haapajoki - Arkkukari";729;4.88;149.4
"Haapajärven kt.";4802;15.22;315.5
"Haapamäki";913;4.25;214.8
"Haapaveden kt.";4009;11.70;342.6
"Haavisto";209;0.98;213.3
"Haikaperä";313;2.06;151.9
"Hailuodon kk.";540;5.50;98.2
"Haimoo";393;3.13;125.6
"Halkia";459;4.56;100.7
"Halkosaari";692;2.13;324.9
"Halla - Tiutinen";360;0.45;800.0
"Halli";1040;3.95;263.3
"Halsuan kk.";501;2.97;168.7
"Haminan kt.";16133;34.66;465.5
"Hammasjärvi";223;2.17;102.8
"Hammaslahti";1594;4.40;362.3
"Hangon kt.";8141;13.82;589.1
"Hankasalmen as.seutu";909;3.15;288.6
"Hankasalmen kk.";1317;3.08;427.6
"Haraldsby";250;1.13;221.2
"Harrström";222;1.81;122.7
"Hartolan kk.";1704;5.33;319.7
"Hauhon kk.";1192;2.90;411.0
"Haukivuoren as.seutu";822;2.74;300.0
"Hausjärven kk.";1108;2.88;384.7
"Heikkilä";723;2.44;296.3
"Heinlammi";210;1.62;129.6
"Heinolan kk.";2471;5.59;442.0
"Heinolan kt.";15041;16.38;918.3
"Heinävaara";494;2.05;241.0
"Heinäveden kk.";1534;3.80;403.7
"Helsingby";878;3.65;240.5
"Helsingin kt.";1193187;641.90;1858.8
"Hepola";1830;3.31;552.9
"Herrala";509;2.81;181.1
"Herunen";577;1.19;484.9
"Hiltulanlahti";244;1.87;130.5
"Himangan kk.";1807;6.38;283.2
"Hinnerjoki";391;2.88;135.8
"Hinthaara";891;3.78;235.7
"Hirsilä";389;2.13;182.6
"Hirvaskangas";370;1.63;227.0
"Hirvensalmen kk.";855;1.70;502.9
"Hollolan kk.";618;3.61;171.2
"Honkajoen kk.";785;3.07;255.7
"Huhmari";338;2.88;117.4
"Huittula";359;1.75;205.1
"Humppilan as.seutu";1474;5.79;254.6
"Huttukylä";307;1.72;178.5
"Hyrynsalmen kk.";1393;3.61;385.9
"Hytti";285;2.21;129.0
"Hyvinkään kt.";42976;35.63;1206.2
"Hähkänä";990;2.56;386.7
"Häijää";386;1.69;228.4
"Hämeenkoski";1060;3.78;280.4
"Hämeenlinnan kt.";49590;46.77;1060.3
"Ihode";626;4.00;156.5
"Iin Hamina";6408;20.38;314.4
"Iisalmen kt.";15657;18.51;845.9
"Iitiä";264;1.68;157.1
"Iittala";2389;6.54;365.3
"Ikaalisten kt.";4048;6.41;631.5
"Ikkala";265;1.99;133.2
"Ilmajoen kk.";7437;34.11;218.0
"Ilola";343;2.54;135.0
"Ilomantsin kk.";2987;7.22;413.7
"Imatran kt.";29054;55.27;525.7
"Inarin kk.";558;2.68;208.2
"Inkere";712;2.13;334.3
"Inkeroinen";5250;13.35;393.3
"Inkoon kk.";2199;7.84;280.5
"Irjanne";290;2.41;120.3
"Isnäs";271;1.35;200.7
"Isojoen kk.";875;3.69;237.1
"Isokoski";387;2.94;131.6
"Isokylä - Kallaanvaara";1025;4.28;239.5
"Isokyrön kk.";2528;12.51;202.1
"Iso-Vimma";562;3.51;160.1
"Itäkylä";215;2.69;79.9
"Ivalo";3118;7.41;420.8
"Jaalan kk.";651;2.13;305.6
"Jakkukylä";225;1.53;147.1
"Jalasjärven kk.";3379;9.30;363.3
"Janakkalan kk.";270;1.75;154.3
"Jepuan as. seutu";454;2.96;153.4
"Joensuun kt.";64621;68.84;938.7
"Jokela (Tuusula)";6160;8.81;699.2
"Jokikylä";336;3.96;84.8
"Jokimaa - Vestra";338;1.44;234.7
"Jokipii";293;1.72;170.3
"Joroisten kk.";1936;5.11;378.9
"Joutsan kk.";2436;5.57;437.3
"Joutsenon kk.";7034;15.80;445.2
"Juankosken kirkons.";2216;5.99;369.9
"Jurvan kk.";1989;9.19;216.4
"Juuan kk.";2405;6.93;347.0
"Juvan kk.";3380;6.69;505.2
"Jyrinki";313;2.53;123.7
"Jyväskylän kt.";119099;100.83;1181.2
"Jäkärlä";3640;7.68;474.0
"Jämijärven kk.";706;3.00;235.3
"Jämsän kt.";13510;30.87;437.6
"Jäppilän kk.";331;1.11;298.2
"Järvelä";2863;8.63;331.7
"Järvensuu";1041;2.54;409.8
"Järvikylä (Nivala)";391;2.88;135.8
"Järvikylä (Sievi)";328;2.44;134.4
"Kaanaa";1042;4.39;237.4
"Kaasmarkku";249;1.55;160.6
"Kaavin kk.";1423;3.14;453.2
"Kainasto";213;2.38;89.5
"Kaipiaisten as.seutu";253;1.75;144.6
"Kaipola";1153;5.28;218.4
"Kaivola";945;2.44;387.3
"Kajaanin kt.";30391;28.17;1078.8
"Kakkuri";254;2.54;100.0
"Kalajoen hiekkasärkät";712;5.31;134.1
"Kalajoen kk.";6559;21.68;302.5
"Kalanti";1216;3.47;350.4
"Kangas";256;2.00;128.0
"Kangaslammin kk.";258;0.77;335.1
"Kangasniemen kk.";2903;5.90;492.0
"Kankaanpää (Köyliö)";558;3.33;167.6
"Kankaanpään kt.";8010;15.27;524.6
"Kannonkosken kk.";558;2.03;274.9
"Kannuksen kt.";3818;11.73;325.5
"Karijoen kk.";556;3.38;164.5
"Karjaan kt.";8008;13.80;580.3
"Karjalohjan kk.";613;2.78;220.5
"Karkkilan kt.";7605;15.48;491.3
"Karkku";562;3.03;185.5
"Karstulan kk.";2166;4.98;434.9
"Karttulan kk.";858;2.81;305.3
"Karunki";483;2.23;216.6
"Karvian kk.";837;2.80;298.9
"Kaskisten kt.";1337;2.90;461.0
"Kasuri";335;1.79;187.2
"Kattby";366;1.63;224.5
"Kauhajoen kt.";8959;32.61;274.7
"Kauhavan kt.";5613;19.94;281.5
"Kaukas";217;0.61;355.7
"Kaukjärvi";248;2.33;106.4
"Kaukonen";252;1.97;127.9
"Kausala";3892;9.06;429.6
"Kaustisen kk.";4344;18.71;232.2
"Keiteleen kk.";1200;3.25;369.2
"Kemie";1615;4.56;354.2
"Kemijärven kt.";4494;9.53;471.6
"Kemin kt.";27870;49.29;565.4
"Kemiön kk.";1369;6.06;225.9
"Kepola - Pajula";767;4.44;172.7
"Kerimäen kk.";2438;5.24;465.3
"Kerkkoo";737;4.25;173.4
"Kestilän kk.";580;2.37;244.7
"Kesälahden kk.";990;3.12;317.3
"Keuruun kt.";6268;8.48;739.2
"Kierälahti";459;1.69;271.6
