"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2013"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Kihniön kk.";727;2.51;289.6
"Kiihtelysvaaran kk.";647;1.88;344.1
"Kiikalan kk.";293;1.13;259.3
"Kiikka";1246;5.46;228.2
"Kiikoisten kk.";509;3.29;154.7
"Kiimingin kk.";5517;14.40;383.1
"Kilpilahti";522;4.44;117.6
"Kilvakkala";289;1.44;200.7
"Kinnulan kk.";889;3.18;279.6
"Kinnulanlahti";201;1.69;118.9
"Kintaus";273;1.43;190.9
"Kipuksenkulma";200;1.50;133.3
"Kirkkoaho";648;4.05;160.0
"Kirkkonummen kk.";19531;36.40;536.6
"Kiteen kt.";4899;9.24;530.2
"Kittilän kk.";2281;4.55;501.3
"Kitula";613;2.29;267.7
"Kiuruveden kt.";4405;7.20;611.8
"Kivijärven kk.";643;2.41;266.8
"Klamila";290;2.69;107.8
"Klaukkala";4245;21.65;196.1
"Knivsund";239;2.09;114.4
"Knuuttila";360;3.87;93.0
"Kodisjoen kk.";345;2.38;145.0
"Kokemäen kt.";4574;15.24;300.1
"Kokkolan kt.";35848;46.71;767.5
"Kolarin kk.";1166;3.72;313.4
"Kolho";726;2.91;249.5
"Kolla";555;4.94;112.3
"Kolmiranta";628;2.83;221.9
"Kolppi";3076;14.74;208.7
"Konginkangas";534;1.45;368.3
"Konneveden kk.";1095;3.72;294.4
"Kontiolahden kk.";3434;8.88;386.7
"Kontiomäki";458;1.94;236.1
"Korhoskylä";216;1.10;196.4
"Koria";4044;7.62;530.7
"Korkeakoski";920;4.29;214.5
"Koroiskylä";300;3.37;89.0
"Korpilahden kk.";2545;6.84;372.1
"Korppoon kk.";260;1.76;147.7
"Korsnäsin kk.";746;3.44;216.9
"Kortesjärven kk.";601;2.81;213.9
"Kosken kk.";1241;3.99;311.0
"Koskenkylä (Loviisa)";1094;4.04;270.8
"Koskenkylä (Vesilahti)";336;1.75;192.0
"Koski (Ulvila)";383;1.93;198.4
"Koskö";295;2.11;139.8
"Kotkan kt.";52829;68.56;770.6
"Kouvolan kt.";49572;61.30;808.7
"Kristiinankaupungin kt.";2803;6.13;457.3
"Kruunupyyn kk.";1749;9.10;192.2
"Kuggom";286;3.06;93.5
"Kuhmalahden kk.";327;2.63;124.3
"Kuhmoisten kk.";1352;4.51;299.8
"Kuhmon kt.";5740;9.00;637.8
"Kulho";650;4.90;132.7
"Kuluntalahti";428;1.53;279.7
"Kunnarla";304;2.24;135.7
"Kuohu";381;1.97;193.4
"Kuopion kt.";84902;46.88;1811.0
"Kuortaneen kk.";1329;4.57;290.8
"Kuortti";262;1.80;145.6
"Kurenalus";4189;8.18;512.1
"Kurikan kt.";6213;20.59;301.7
"Kurkimäki";666;1.97;338.1
"Kurun kk.";1049;3.49;300.6
"Kustavin kk.";314;1.57;200.0
"Kuukanniemi";685;1.33;515.0
"Kuusa";296;2.16;137.0
"Kuusamon kt.";8668;16.14;537.1
"Kuusjoen kk.";506;1.88;269.1
"Kuuslahti";227;1.87;121.4
"Kuvansi";1009;3.47;290.8
"Kylmäkosken kirkons.";677;2.38;284.5
"Kyläsaari";6706;18.20;368.5
"Kyrö";1748;5.44;321.3
"Kyröskoski";6851;16.28;420.8
"Kyyjärven kk.";825;3.56;231.7
"Kälviän kirkons.";2422;8.49;285.3
"Kämmenniemi";908;1.27;715.0
"Kärjenniemi";610;2.35;259.6
"Kärsämäen kk.";1214;4.87;249.3
"Käärmelahti";386;2.17;177.9
"Lahden kt.";116817;109.60;1065.8
"Laihian kk.";6526;22.94;284.5
"Laitilan kt.";5380;16.44;327.3
"Lammala";206;1.41;146.1
"Lammin kk.";3020;6.06;498.3
"Lampinsaari";242;0.63;384.1
"Langansböle";899;2.38;377.7
"Lapijoki";811;3.91;207.4
"Lapin kk.";1548;5.92;261.5
"Lapinjärven kk.";759;2.67;284.3
"Lapinkylä";691;5.51;125.4
"Lapinlahden kk.";3679;7.24;508.1
"Lappajärven kk.";1480;6.40;231.3
"Lappeenrannan kt.";54910;54.25;1012.2
"Lappila";303;1.56;194.2
"Lappohja";550;2.01;273.6
"Lapuan kt.";10619;26.78;396.5
"Lapväärtti";1582;10.77;146.9
"Laukaan kk.";7680;17.40;441.4
"Laukkoski";386;3.18;121.4
"Launonen";1298;4.38;296.3
"Lauttakylä";6762;21.11;320.3
"Lavian kk.";866;2.93;295.6
"Lehmijärvi";206;1.80;114.4
"Lehtimäki";674;3.92;171.9
"Leivonmäen kk.";399;1.56;255.8
"Lemin kk.";707;1.31;539.7
"Lempiskallio";256;1.69;151.5
"Lemun kk.";1311;5.50;238.4
"Lepaa";236;1.47;160.5
"Lepplax";206;1.79;115.1
"Leppäkoski";327;1.77;184.7
"Leppälampi";248;2.31;107.4
"Leppävesi";2796;6.31;443.1
"Leppävirran kk.";4336;8.15;532.0
"Lestijärven kk.";296;1.05;281.9
"Liedon as.seutu";1093;4.06;269.2
"Lieksan kt.";7775;15.09;515.2
"Lievestuore";2384;7.02;339.6
"Liljendalin kk.";491;3.32;147.9
"Lillby";351;2.32;151.3
"Limingan kk.";4777;10.42;458.4
"Linna";234;2.23;104.9
"Linnanpelto";294;2.12;138.7
"Liperin kk.";1524;3.53;431.7
"Lohjan kt.";33640;45.02;747.2
"Lohtajan kk.";797;4.94;161.3
"Loimaan kt.";9026;17.52;515.2
"Lokalahti";381;1.63;233.7
"Lopen kk.";2286;6.94;329.4
"Louhioja";216;1.50;144.0
"Loviisan kt.";7245;12.55;577.3
"Lumijoen kk.";1261;4.31;292.6
"Luoma-aho";255;1.93;132.1
"Luopa";299;3.35;89.3
"Luopioisten kk.";620;2.18;284.4
"Luumäen as.seutu";828;3.16;262.0
"Luvian kk.";1908;7.25;263.2
"Långvik";429;3.51;122.2
"Länkipohja";569;2.54;224.0
"Läyliäinen";941;3.06;307.5
"Maalahden kk.";2922;17.02;171.7
"Maaningan kk.";963;2.48;388.3
"Maarianhaminan kt.";13484;18.81;716.9
"Mahnala";222;1.25;177.6
"Maksamaan kk.";316;2.07;152.7
"Maksniemi";635;2.38;266.8
"Maliskylä";277;2.75;100.7
"Marinkainen";601;3.00;200.3
"Marttilan kk.";871;3.70;235.4
"Marttilanharju";401;0.89;450.6
"Maskun kk.";4780;11.09;431.0
"Meijerinkylä";271;1.69;160.4
"Melalahti";851;1.40;607.9
"Mellilän as.seutu";473;1.80;262.8
"Merijärven kk.";453;1.96;231.1
"Merikaarto";1212;4.79;253.0
"Merikarvian kk.";1825;9.47;192.7
"Metsäkylä";286;3.02;94.7
"Miehikkälän kk.";607;2.44;248.8
"Mikkelin kt.";36343;35.54;1022.6
"Moikipää";495;2.79;177.4
"Monninkylä";1326;4.12;321.8
"Muhoksen kk.";7031;24.32;289.1
"Multian kk.";836;2.62;319.1
"Munakka";217;2.06;105.3
"Munsala";303;2.56;118.4
"Muonion kk.";1201;4.77;251.8
"Murto";1443;3.25;444.0
"Mustion asema";671;1.75;383.4
"Mustion ruukki";210;2.10;100.0
"Muuramen kk.";6985;12.40;563.3
"Muurlan kk.";929;3.26;285.0
"Muurola";985;2.90;339.7
"Muuruvesi";375;1.31;286.3
"Myllykoski";6184;15.78;391.9
"Myllymäki";254;1.97;128.9
"Mynämäen kk.";3972;13.38;296.9
"Myrskylän kk.";893;4.27;209.1
"Mäntsälän kk.";11046;17.05;647.9
"Mäntyharjun as.seutu";3948;10.36;381.1
"Mäntyluoto";419;1.84;227.7
"Mäntän kt.";8072;17.86;452.0
"Märynummi";1008;1.94;519.6
"Mäyry";200;1.70;117.6
"Mörby";280;2.44;114.8
"Möttönen";238;2.32;102.6
"Narva";464;1.81;256.4
"Nastolan kk.";12242;23.71;516.3
"Nauvon kk.";473;1.71;276.6
"Nerkoo";211;1.05;201.0
"Neuvoton";1381;4.93;280.1
"Niemenkylä";264;2.31;114.3
"Niemisjärvi";343;1.61;213.0
"Nihattula";427;2.53;168.8
"Niinisalo";492;2.08;236.5
"Niittumaa";745;6.63;112.4
"Nilsiän kt.";3177;7.17;443.1
"Nivalan kt.";5384;17.87;301.3
"Nivankylä";351;2.12;165.6
"Noormarkun kk.";4406;10.04;438.8
"Norra Vallgrund - Södra Vallgrund";530;5.06;104.7
"Nostava";587;2.19;268.0
"Nuijamaa";239;1.04;229.8
"Nukari";385;2.81;137.0
"Nummela";13512;18.72;721.8
"Nummen kk.";523;2.31;226.4
"Nummi";3214;13.25;242.6
"Numminen";331;3.89;85.1
"Nurmeksen kt.";5302;12.29;431.4
"Nurmijärven kk.";7209;10.19;707.5
"Nämpnäs";233;2.61;89.3
"Närpiön kt.";3927;19.72;199.1
"Oinasjoki";202;1.06;190.6
"Oitti";1988;5.26;377.9
"Ojakkala";1417;4.16;340.6
"Ojakylä";302;1.88;160.6
"Oksava";259;2.25;115.1
"Olkijoki";209;1.63;128.2
"Olkkala";252;2.43;103.7
"Oravaisten kk.";1228;6.96;176.4
"Oravikoski";371;1.46;254.1
"Orimattilan kt.";9236;16.75;551.4
"Oripään kk.";736;2.88;255.6
"Oritlampi";226;1.59;142.1
"Oriveden kt.";6350;13.71;463.2
"Otalampi";1024;4.96;206.5
"Otanmäki";709;1.50;472.7
"Otava";1463;4.59;318.7
"Oulaisten kt.";5533;13.68;404.5
"Oulun kt.";191325;194.62;983.1
"Outokummun kt.";4903;10.85;451.9
"Paatela";372;1.79;207.8
"Paattinen";1002;4.75;210.9
"Paavola";481;1.44;334.0
"Padasjoen kk.";1637;6.03;271.5
"Paihola";227;0.92;246.7
"Paimion kt.";8127;16.40;495.5
"Palojoki";313;2.44;128.3
"Paltamon kk.";1674;6.08;275.3
"Paltaniemi";321;2.50;128.4
"Panelia";922;6.42;143.6
"Pankakoski";727;2.68;271.3
"Paraisten kt.";9674;26.68;362.6
"Parhalahti";298;2.88;103.5
"Parikkalan kk.";1695;4.14;409.4
"Parkanon kt.";4482;13.76;325.7
"Parola";6656;15.98;416.5
"Pelkosenniemen kk.";355;1.56;227.6
"Pellesmäki - Vehmasmäki";516;4.19;123.2
"Pellon kk.";1948;6.87;283.6
"Pellosniemi";348;1.62;214.8
"Peltokorpi";496;3.13;158.5
"Peltosalmi";772;2.86;269.9
"Pennala";830;3.69;224.9
"Perhon kk.";887;3.18;278.9
"Pernajan kk.";479;2.19;218.7
"Perniön as.seutu";239;1.69;141.4
"Perniön kk.";2438;5.63;433.0
"Pertunmaan kk.";486;2.06;235.9
"Perälä";415;4.91;84.5
"Peräseinäjoen kk.";1610;8.10;198.8
"Petolahti";610;4.13;147.7
"Petsmo";374;3.10;120.6
"Petäjäveden kk.";1872;5.67;330.2
"Piehinki";381;3.17;120.2
"Pieksämäen kt.";13852;18.01;769.1
"Pielaveden kk.";2031;3.92;518.1
"Pietarsaaren kt.";20952;27.27;768.3
"Pihkainmäki";448;1.88;238.3
"Pihtiputaan kk.";1981;5.91;335.2
"Piippolan kk.";560;2.63;212.9
"Pirttikylä";422;3.18;132.7
"Pohjakylä";440;2.11;208.5
"Pohjan kk.";2171;6.65;326.5
"Poikko";217;1.54;140.9
"Polvijärven kk.";1438;4.58;314.0
"Pomarkun kk.";1420;5.42;262.0
"Porin kt.";84489;119.79;705.3
"Pornaisten kk.";2116;6.52;324.5
"Porvoon kt.";37357;46.83;797.7
"Puhos";222;0.81;274.1
"Pukkilan kk.";799;2.38;335.7
"Pulkkilan kk.";819;3.70;221.4
"Punkalaitumen kk.";1316;5.17;254.5
"Punkasalmi";1409;2.63;535.7
"Puolangan kk.";1601;3.63;441.0
"Purmo";334;3.38;98.8
"Purola";266;2.40;110.8
"Pusula";785;1.92;408.9
"Puuluoto";281;0.75;374.7
"Puumalan kk.";1174;3.27;359.0
"Pyhe";328;2.03;161.6
"Pyhtään kk.";713;3.76;189.6
"Pyhäjoen kk.";1707;5.22;327.0
"Pyhäniemi";313;1.87;167.4
"Pyhännän kk.";836;2.09;400.0
"Pyhäsalmi";2630;6.65;395.5
"Pylkönmäen kk.";325;1.19;273.1
"Pännäinen";963;5.99;160.8
"Päntäne";239;1.56;153.2
"Pöljä";404;3.79;106.6
"Raahen kt.";19178;41.26;464.8
"Raippaluoto";714;3.88;184.0
"Rajamäki";6341;13.16;481.8
"Rangsby";275;1.63;168.7
"Rantasalmen kk.";1539;3.80;405.0
"Rantsilan kk.";855;3.37;253.7
"Ranuan kk.";2002;4.93;406.1
"Rasila";2757;6.12;450.5
"Rauman kt.";33731;51.82;650.9
"Rautalammin kk.";1622;4.68;346.6
"Rautavaaran kk.";777;2.24;346.9
"Rautio";379;2.34;162.0
"Rautionsaari";1084;5.96;181.9
"Rautjärven as.seutu";227;1.21;187.6
"Reijola";3193;6.89;463.4
"Reisjärven kk.";1208;4.15;291.1
"Rengon kk.";1134;4.20;270.0
"Renum - Jakari";292;2.81;103.9
"Reposaari";819;1.54;531.8
"Revonlahti";445;2.37;187.8
"Riihikoski";1586;5.56;285.3
"Riihimäen kt.";28185;29.85;944.2
"Riskunmäki";209;0.81;258.0
"Ristiinan kk.";2303;4.29;536.8
"Ristijärven kk.";617;2.25;274.2
"Risö";2540;8.81;288.3
"Rova";334;0.63;530.2
"Rovaniemen kt.";51252;55.63;921.3
"Ruka";214;3.38;63.3
"Ruotanen";477;2.25;212.0
"Ruotsalo - Peitso";271;1.96;138.3
"Ruotsinpyhtään kk.";488;1.97;247.7
"Ruoveden kk.";2026;6.04;335.4
"Ruukki";1228;4.39;279.7
"Ruutana";3498;9.40;372.1
"Rymättylän kk.";810;2.44;332.0
"Ryttylä";1702;3.81;446.7
"Rääkkylän kk.";671;2.31;290.5
"Röykkä";1652;3.75;440.5
"Saarijärven kt.";5237;13.01;402.5
"Saariselkä";303;2.19;138.4
"Sahalahden kk.";1194;3.28;364.0
"Saimaanharju";1937;2.89;670.2
"Sallan kk.";1742;3.79;459.6
"Salon kt.";30098;38.02;791.6
"Sammatin kk.";951;4.09;232.5
"Saukkola";1040;4.23;245.9
"Sauvon kk.";1254;3.81;329.1
"Savijärvi";225;1.31;171.8
"Savitaipaleen kk.";1920;5.85;328.2
"Savonlinnan kt.";22974;22.67;1013.4
"Savonrannan kk.";461;2.00;230.5
"Savukosken kk.";440;2.25;195.6
"Seinäjoen kt.";47454;53.95;879.6
"Sieppijärvi";234;1.41;166.0
"Sievin kk.";1851;4.53;408.6
"Siikaisten kk.";510;2.04;250.0
"Siikajoenkylä";483;2.44;198.0
"Siilinjärven kk.";11431;22.82;500.9
"Siltakylä";2869;10.39;276.1
"Simon as.seutu";864;3.07;281.4
"Simon kk.";247;1.80;137.2
"Simpele";1830;5.03;363.8
"Sinettä";477;2.24;212.9
"Sippola";202;1.47;137.4
"Sirkka";659;7.03;93.7
"Siuntion as.seutu";2245;3.43;654.5
"Siuntion kk.";375;1.88;199.5
"Siuro";2444;5.47;446.8
"Sodankylän kk.";5282;12.82;412.0
"Soinin kk.";1066;3.90;273.3
"Soinlahti";268;2.76;97.1
"Soklot";269;2.06;130.6
"Sokoja";211;1.44;146.5
"Someron kt.";5089;12.25;415.4
"Sonkajärven kk.";1465;2.96;494.9
"Sorsakoski";793;2.48;319.8
"Sotkia";225;1.74;129.3
"Storby";401;2.57;156.0
"Stormi";242;1.93;125.4
"Störsvik";268;1.42;188.7
"Sukeva";430;1.83;235.0
"Sulkavan kk.";1206;3.30;365.5
"Sumiaisten kk.";451;1.41;319.9
"Sundom";3646;15.96;228.4
"Suolahden kt.";4456;8.59;518.7
"Suomenlinna";788;0.62;1271.0
"Suomussalmen kk.";936;2.18;429.4
"Suonenjoen kt.";5319;12.06;441.0
"Suopelto";225;1.31;171.8
"Syrjäntaka";560;2.37;236.3
"Sysmän kk.";2108;6.20;340.0
"Syvänniemi";236;1.29;182.9
"Säkylän kk.";3140;9.66;325.1
"Sälinkää";253;1.63;155.2
"Särkisalmi";448;2.56;175.0
"Säyneinen";206;1.28;160.9
"Sääksjärvi";260;2.47;105.3
"Söderby";522;3.94;132.5
"Söderkulla";7719;36.25;212.9
"Söyrylä";214;1.88;113.8
"Söörmarkku";588;2.94;200.0
"Taalintehdas";1213;3.71;327.0
"Taavetti";2168;5.00;433.6
"Taipalsaaren kk.";849;2.39;355.2
"Taivalkosken kk.";1946;5.10;381.6
"Taivassalon kk.";646;3.00;215.3
"Takamaa";520;2.99;173.9
"Tammisaaren kt.";8739;12.08;723.4
"Tampereen kt.";321481;267.11;1203.6
"Tarvasjoen kk.";900;3.61;249.3
"Tavastila";567;3.79;149.6
"Teerijärvi";1002;4.91;204.1
"Teijo";378;2.17;174.2
"Tenhola";766;2.94;260.5
"Teponmäki";385;3.12;123.4
"Tervakoski";4183;8.20;510.1
"Tervolan kk.";1098;3.17;346.4
"Tervon kk.";560;1.72;325.6
"Tesjoki";938;2.68;350.0
"Teuvan kk.";2936;15.53;189.1
"Tiistenjoki";246;2.04;120.6
"Tikkakoski";4265;5.75;741.7
"Tirisenkallio";203;1.25;162.4
"Tiukka";231;1.75;132.0
"Toholammin kk.";1634;7.35;222.3
"Toija";569;1.97;288.8
"Toijalan kt.";8401;16.30;515.4
"Toivakan kk.";976;2.78;351.1
"Toivala - Vuorela";5522;9.40;587.4
"Tolpanniemi";1268;2.06;615.5
"Torkkola";204;1.74;117.2
"Tornion kt.";17107;35.20;486.0
"Träskby";601;5.21;115.4
"Tupos";2751;4.06;677.6
"Turenki";7735;13.72;563.8
"Turun kt.";257158;256.13;1004.0
"Tuunaansaari";204;1.22;167.2
"Tuupovaaran kk.";580;2.05;282.9
"Tuuri";774;3.94;196.4
"Tuusniemen kk.";1084;2.85;380.4
"Tyrnävän kk.";2953;6.94;425.5
"Töysän kk.";961;5.03;191.1
"Uimaharju";1514;5.69;266.1
"Untamala";343;3.37;101.8
"Uotsola";1097;3.66;299.7
"Urjalan kk.";2402;8.30;289.4
"Utajärven kk.";1393;4.60;302.8
"Utsjoen kk.";350;1.39;251.8
"Utti";426;2.42;176.0
"Uudenkaarlepyyn kt.";3340;6.87;486.2
"Uudenkaupungin kt.";10005;17.67;566.2
"Uuraisten kk.";1104;3.82;289.0
"Vaalan kk.";1342;2.84;472.5
"Vaasan kt.";66251;67.02;988.5
"Vahdon kk.";1125;3.75;300.0
"Valkeakosken kt.";17060;19.23;887.2
"Valkeala";6006;10.73;559.7
"Valtimon kk.";1105;3.45;320.3
"Vammalan kt.";10427;19.85;525.3
"Vampulan kk.";478;2.54;188.2
"Varkauden kt.";20096;31.84;631.2
"Varpaisjärven kk.";1191;3.16;376.9
"Vartsala";269;1.25;215.2
"Vasarainen";386;3.69;104.6
"Vasarla";277;1.94;142.8
"Vaskiluoto";359;2.46;145.9
"Vaskio";307;1.38;222.5
"Vastamäki";578;3.54;163.3
"Vattukylä";246;1.75;140.6
"Vaulammi";210;1.81;116.0
"Vehmersalmen kk.";588;1.12;525.0
"Veikkaala";236;1.39;169.8
"Veikkola";6475;19.82;326.7
"Veneskoski";324;2.10;154.3
"Vesala";693;2.01;344.8
"Vesanka";811;4.43;183.1
"Vesannon kk.";875;2.71;322.9
"Vesilahden kk.";1649;4.24;388.9
"Vesivehmaa";383;3.62;105.8
"Vieremän kk.";1430;2.61;547.9
"Vierumäki";429;2.63;163.1
"Vihannin kk.";1180;3.47;340.1
