"11s8 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2020"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2020";"Ahde";399;2.89;138.1
"2020";"Ahlainen";353;2.96;119.3
"2020";"Ahola (Posio)";1273;4.06;313.5
"2020";"Ahonkylä";2178;5.17;421.3
"2020";"Aitoo";403;2.62;153.8
"2020";"Ajos";324;0.98;330.6
"2020";"Akonpohja";234;1.38;169.6
"2020";"Alahärmän kk.";2137;11.95;178.8
"2020";"Alajärven kt.";5022;25.34;198.2
"2020";"Alakylä";1484;9.02;164.5
"2020";"Alapitkä";361;1.38;261.6
"2020";"Alastaron kk.";1122;4.22;265.9
"2020";"Alaveteli";1019;7.82;130.3
"2020";"Alavieskan kk.";1294;6.33;204.4
"2020";"Alavuden as.seutu";1225;6.66;183.9
"2020";"Alavuden kt.";4029;12.55;321.0
"2020";"Anttola";302;2.44;123.8
"2020";"Anttolankylä";802;2.79;287.5
"2020";"Arpela";264;1.87;141.2
"2020";"Artjärven kk.";410;2.47;166.0
"2020";"Asemakylä (Ii)";782;4.86;160.9
"2020";"Askaisten kk.";488;2.93;166.6
"2020";"Askolan kk.";1297;5.59;232.0
"2020";"Auran as.seutu";2744;7.48;366.8
"2020";"Bergö";371;3.16;117.4
"2020";"Björkboda";207;1.41;146.8
"2020";"Björköby";269;2.69;100.0
"2020";"Blinkan";239;1.56;153.2
"2020";"Bosund";1039;3.15;329.8
"2020";"Dragsfjärdin kk.";555;4.79;115.9
"2020";"Elimäen kk.";1245;4.34;286.9
"2020";"Enon kk.";1744;4.35;400.9
"2020";"Enonkosken kk.";524;1.83;286.3
"2020";"Enontekiön kk.";509;3.13;162.6
"2020";"Eskola";242;1.56;155.1
"2020";"Eteläinen";594;3.36;176.8
"2020";"Etelä-Paippinen";307;2.81;109.3
"2020";"Eugmo";722;3.66;197.3
"2020";"Eurajoen kk.";3546;12.01;295.3
"2020";"Eurakoski";737;3.34;220.7
"2020";"Euran kk.";6259;21.27;294.3
"2020";"Evijärven kk.";863;4.53;190.5
"2020";"Fiskari";534;2.67;200.0
"2020";"Forsby";376;4.47;84.1
"2020";"Forssan kt.";20867;38.66;539.8
"2020";"Gesterby";587;6.04;97.2
"2020";"Girsnäs";246;1.94;126.8
"2020";"Godby";1341;7.00;191.6
"2020";"Haapajoki - Arkkukari";671;5.11;131.3
"2020";"Haapajärven kt.";4379;16.79;260.8
"2020";"Haapajärvi (Joensuu)";208;2.15;96.7
"2020";"Haapamäki";777;4.19;185.4
"2020";"Haapaveden kt.";3755;12.14;309.3
"2020";"Haikaperä";356;2.25;158.2
"2020";"Hailuodon kk.";495;5.50;90.0
"2020";"Haimoo";376;3.45;109.0
"2020";"Halkia";441;4.50;98.0
"2020";"Halkosaari";671;2.19;306.4
"2020";"Halla - Tiutinen";330;0.50;660.0
"2020";"Halli";924;4.32;213.9
"2020";"Halsuan kk.";470;2.88;163.2
"2020";"Haminan kt.";15240;35.10;434.2
"2020";"Hammasjärvi";220;2.57;85.6
"2020";"Hammaslahti";1455;4.39;331.4
"2020";"Hangon kt.";7197;13.96;515.5
"2020";"Hankasalmen as.seutu";722;3.21;224.9
"2020";"Hankasalmen kk.";1194;3.20;373.1
"2020";"Haraldsby";243;1.23;197.6
"2020";"Hartolan kk.";1395;5.29;263.7
"2020";"Hastinrinne";214;1.81;118.2
"2020";"Hauhon kk.";1139;3.02;377.2
"2020";"Haukivuoren as.seutu";743;2.86;259.8
"2020";"Heikkilä";814;2.94;276.9
"2020";"Heinlammi";213;1.92;110.9
"2020";"Heinolan kk.";2199;5.82;377.8
"2020";"Heinolan kt.";14183;16.64;852.3
"2020";"Heinävaara";457;2.30;198.7
"2020";"Heinäveden kk.";1353;3.74;361.8
"2020";"Helsingby";876;4.18;209.6
"2020";"Helsingin kt.";1298955;638.37;2034.8
"2020";"Hepola";1710;3.55;481.7
"2020";"Herrala";495;2.87;172.5
"2020";"Hikiä";1021;3.25;314.2
"2020";"Himangan kk.";1672;6.28;266.2
"2020";"Hinnerjoki";381;2.85;133.7
"2020";"Hinthaara";866;4.15;208.7
"2020";"Hirsilä";342;1.81;189.0
"2020";"Hirvaskangas";474;1.76;269.3
"2020";"Hirvensalmen kk.";739;1.97;375.1
"2020";"Hollolan kk.";1009;6.71;150.4
"2020";"Honkajoen kk.";674;3.30;204.2
"2020";"Huhmari";329;2.86;115.0
"2020";"Huittula";304;1.81;168.0
"2020";"Humppilan as.seutu";1340;6.20;216.1
"2020";"Huttukylä";272;2.01;135.3
"2020";"Hyrynsalmen kk.";1197;3.71;322.6
"2020";"Hytti";283;2.58;109.7
"2020";"Hyvinkään kt.";43401;36.69;1182.9
"2020";"Hähkänä";957;2.81;340.6
"2020";"Häijää";414;1.93;214.5
"2020";"Häiviä";343;3.61;95.0
"2020";"Hämeenkoski";1044;4.10;254.6
"2020";"Hämeenlinnan kt.";58096;66.67;871.4
"2020";"Ihode";579;3.99;145.1
"2020";"Iin Hamina";6562;21.34;307.5
"2020";"Iisalmen kt.";15012;17.82;842.4
"2020";"Iitin kk.";236;1.84;128.3
"2020";"Iitiä";376;2.49;151.0
"2020";"Iittala";2297;7.00;328.1
"2020";"Ikaalisten kt.";3752;6.38;588.1
"2020";"Ikkala";269;2.17;124.0
