"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2017"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys asukasta/km²"
"2017";"Uimaharju";1366;5.70;239.7
"2017";"Untamala";326;3.44;94.9
"2017";"Uotsola";1103;3.69;298.7
"2017";"Urjalan kk.";2337;8.42;277.6
"2017";"Utajärven kk.";1312;4.79;274.1
"2017";"Utsjoen kk.";317;1.40;226.0
"2017";"Utti";412;2.41;170.9
"2017";"Uudenkaarlepyyn kt.";3429;8.02;427.7
"2017";"Uudenkaupungin kt.";10269;19.29;532.4
"2017";"Uuraisten kk.";1128;3.95;285.8
"2017";"Vaalan kk.";1233;2.85;432.6
"2017";"Vaasan kt.";67690;71.50;946.7
"2017";"Vahdon kk.";1147;4.00;286.8
"2017";"Valkeakosken kt.";17066;20.03;851.8
"2017";"Valkeala";5957;10.86;548.3
"2017";"Valtimon kk.";997;3.43;290.9
"2017";"Vammalan kt.";10243;20.23;506.2
"2017";"Vampulan kk.";468;2.61;179.5
"2017";"Varkauden kt.";19189;32.65;587.8
"2017";"Varpaisjärven kk.";1118;3.16;353.9
"2017";"Vartsala";269;1.30;207.2
"2017";"Vasarainen";391;3.75;104.3
"2017";"Vasarla";263;1.94;135.7
"2017";"Vaskiluoto";338;2.42;139.9
"2017";"Vaskio";294;1.38;213.8
"2017";"Vastamäki";590;3.66;161.3
"2017";"Vattukylä";248;1.81;136.8
"2017";"Vehmersalmen kk.";562;1.13;499.4
"2017";"Veikkaala";223;1.63;137.2
"2017";"Veikkola";6259;17.98;348.0
"2017";"Veneskoski";334;2.17;154.1
"2017";"Vesala";711;2.37;299.9
"2017";"Vesanka";916;4.91;186.7
"2017";"Vesannon kk.";840;2.87;292.6
"2017";"Vesilahden kk.";1657;4.42;374.6
"2017";"Vieremän kk.";1368;2.62;522.3
"2017";"Vierumäki";429;2.56;167.7
"2017";"Vihannin kk.";1124;3.47;323.6
"2017";"Vihdin kk.";3525;5.49;642.2
"2017";"Viialan kk.";5272;11.56;456.0
"2017";"Viinijärvi";784;3.46;226.8
"2017";"Viitasaaren kt.";3612;6.74;536.1
"2017";"Viitikko";242;1.44;168.3
"2017";"Viljakkalan kk.";588;2.31;254.6
"2017";"Vilniemi";523;1.32;397.4
"2017";"Vimpelin kk.";2047;9.77;209.5
"2017";"Vinkkilä";1081;6.37;169.7
"2017";"Virenoja";301;2.58;116.8
"2017";"Virojoki";1150;5.60;205.5
"2017";"Virtain kt.";3492;9.55;365.6
"2017";"Virtasalmen kk.";225;0.97;231.6
"2017";"Virttaa";252;1.69;149.3
"2017";"Visulahti";856;3.81;224.4
"2017";"Visuvesi";313;1.95;160.5
"2017";"Voolahti";297;2.33;127.7
"2017";"Vuokatti";6207;13.16;471.6
"2017";"Vuolijoen kk.";410;1.40;291.9
"2017";"Vuores";3836;2.88;1334.1
"2017";"Vähäkangas";298;1.88;158.9
"2017";"Vähäkyrön kk.";3490;20.19;172.9
"2017";"Västerbyn";204;0.69;296.7
"2017";"Vääksy";4872;9.24;527.4
"2017";"Vöyrin kk.";1810;8.81;205.4
"2017";"Ylihärmän kk.";2171;9.54;227.7
"2017";"Yli-Iin kirkons.";686;2.44;281.4
"2017";"Ylikiimingin kk.";732;2.58;283.7
"2017";"Yli-Liakka";200;1.58;126.2
"2017";"Ylimarkku";519;3.57;145.4
"2017";"Yliskulma";243;2.19;111.1
"2017";"Ylistaron kk.";2566;12.12;211.8
"2017";"Ylitornion kk.";1931;6.75;286.1
"2017";"Ylivieskan kt.";12426;27.78;447.4
"2017";"Ylämaan kk.";402;1.80;222.7
"2017";"Yläneen kk.";967;4.03;240.1
"2017";"Yppäri";351;3.00;117.0
"2017";"Ypäjän kk.";965;3.98;242.5
"2017";"Äetsän kk.";2156;9.71;222.0
"2017";"Ähtärin kt.";3423;7.42;461.3
"2017";"Ähtävä";786;4.94;159.0
"2017";"Äkäslompolo";473;4.86;97.4
"2017";"Ämmänsaari";4093;8.49;482.0
"2017";"Äystö";295;2.44;121.0
"2017";"Äänekosken kt.";8462;10.61;797.3
"2017";"Ödkarby";400;3.36;119.0
