"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2017"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys asukasta/km²"
"2017";"Lemin kk.";684;1.51;453.0
"2017";"Lemun kk.";1379;6.25;220.6
"2017";"Lepplax";257;2.11;121.8
"2017";"Leppäkoski";334;1.90;175.7
"2017";"Leppälampi";265;2.56;103.4
"2017";"Leppävesi";2932;6.56;446.8
"2017";"Leppävirran kk.";4209;7.96;528.8
"2017";"Lestijärven kk.";290;1.05;275.8
"2017";"Liakka";202;1.48;136.8
"2017";"Liedon as.seutu";1173;5.41;216.6
"2017";"Lieksan kt.";7162;15.18;471.7
"2017";"Lievestuore";2324;7.10;327.4
"2017";"Liljendalin kk.";490;3.01;162.6
"2017";"Lillby";345;2.37;145.7
"2017";"Limingan kk.";5143;11.16;460.7
"2017";"Linna";222;2.28;97.2
"2017";"Linnanpelto";293;2.43;120.4
"2017";"Liperin kk.";1438;3.67;391.9
"2017";"Lohjan kt.";33084;45.86;721.4
"2017";"Lohtajan kk.";701;4.06;172.6
"2017";"Loimaan kt.";8857;17.69;500.7
"2017";"Lokalahti";409;1.63;251.7
"2017";"Lopen kk.";2207;7.18;307.4
"2017";"Louhioja";233;1.56;149.1
"2017";"Loviisan kt.";7112;12.93;549.9
"2017";"Lumijoen kk.";1347;4.50;299.3
"2017";"Luoma-aho";256;1.98;129.4
"2017";"Luopa";293;3.40;86.2
"2017";"Luopajärvi";204;2.06;98.9
"2017";"Luopioisten kk.";613;2.28;268.9
"2017";"Luumäen as.seutu";785;3.21;244.3
"2017";"Luvian kk.";1930;7.75;249.0
"2017";"Långvik";447;3.96;113.0
"2017";"Länkipohja";512;2.75;185.9
"2017";"Läyliäinen";872;3.12;279.9
"2017";"Maalahden kk.";2915;17.16;169.8
"2017";"Maaningan kk.";908;2.65;342.1
"2017";"Maarianhaminan kt.";14321;21.09;679.1
"2017";"Maksamaan kk.";330;2.07;159.4
"2017";"Maksniemi";586;2.38;246.7
"2017";"Maliskylä";282;2.85;99.1
"2017";"Marinkainen";545;2.88;189.6
