"11s8 -- Taajamat väkiluvun ja väestöntiheyden mukaan, 2018"

"Vuosi";"Taajama";"Väestö 31.12.";"Maapinta-ala, km²";"Väestöntiheys"
"2018";"Polvijärven kk.";1253;4.57;274.2
"2018";"Pomarkun kk.";1309;5.43;241.1
"2018";"Porin kt.";83785;120.19;697.1
"2018";"Pornaisten kk.";2077;6.59;315.2
"2018";"Porvoon kt.";38471;47.25;814.2
"2018";"Puhos";204;0.82;248.8
"2018";"Pukkilan kk.";755;2.52;299.6
"2018";"Pulkkilan kk.";741;4.05;183.0
"2018";"Punkalaitumen kk.";1188;5.23;227.2
"2018";"Punkasalmi";1295;2.59;500.0
"2018";"Puolangan kk.";1439;3.61;398.6
"2018";"Purmo";363;3.71;97.8
"2018";"Purola";249;2.40;103.8
"2018";"Pusula";763;1.91;399.5
"2018";"Puuluoto";259;0.75;345.3
"2018";"Puumalan kk.";1098;3.41;322.0
"2018";"Pyhe";297;2.08;142.8
"2018";"Pyhtään kk.";671;3.84;174.7
"2018";"Pyhäjoen kk.";1566;5.49;285.2
"2018";"Pyhäniemi";317;2.00;158.5
"2018";"Pyhännän kk.";854;2.16;395.4
"2018";"Pyhärannan kk.";261;1.36;191.9
"2018";"Pyhäsalmi";2433;6.72;362.1
"2018";"Pylkönmäen kk.";288;1.19;242.0
"2018";"Pännäinen";1006;6.72;149.7
"2018";"Päntäne";208;1.55;134.2
"2018";"Pöljä";417;4.01;104.0
"2018";"Raahen kt.";18896;42.03;449.6
"2018";"Raippaluoto";715;4.00;178.8
"2018";"Rajamäki";6647;13.45;494.2
"2018";"Rangsby";315;1.69;186.4
"2018";"Rantasalmen kk.";1356;3.77;359.7
"2018";"Rantsilan kk.";769;3.39;226.8
"2018";"Ranuan kk.";1916;4.89;391.8
"2018";"Rasila";2545;6.08;418.6
"2018";"Rauman kt.";33508;53.53;626.0
"2018";"Rautalammin kk.";1532;4.71;325.3
"2018";"Rautavaaran kk.";729;2.41;302.5
"2018";"Rautio";390;2.46;158.5
"2018";"Rautiosaari";1098;6.03;182.1
"2018";"Rautjärven as.seutu";213;1.21;176.0
"2018";"Reisjärven kk.";1189;4.89;243.1
"2018";"Rengon kk.";1162;4.56;254.8
"2018";"Renum - Jakari";283;3.06;92.5
"2018";"Reposaari";760;1.47;517.0
"2018";"Revonlahti";411;2.39;172.0
"2018";"Riihikoski";1553;5.99;259.3
"2018";"Riihimäen kt.";27711;31.58;877.5
"2018";"Ristiinan kk.";2219;4.26;520.9
"2018";"Ristijärven kk.";551;2.24;246.0
"2018";"Risö";2744;9.09;301.9
"2018";"Rova";337;0.56;601.8
"2018";"Rovaniemen kt.";53361;59.77;892.8
"2018";"Ruka";234;3.75;62.4
