"027 -- Taajamat väkiluvun ja väestöntiheyden mukaan 31.12.2011"

"Taajama";"Väkiluku";"Maapinta-ala km²";"Väestöntiheys"
"Ahlainen";401;3.08;130.2
"Ahola";1512;3.98;380.3
"Ahonkylä";1538;4.69;328.1
"Aitoo";423;2.31;183.5
"Ajos";350;0.81;430.8
"Akonpohja";293;1.25;234.4
"Alahärmän kk.";2322;11.36;204.3
"Alajärven kt.";4201;15.91;264.1
"Alakylä";1370;7.88;173.8
"Alapitkä";409;1.19;344.4
"Alastaron kk.";1209;4.23;285.5
"Alaveteli";816;5.26;155.3
"Alavieskan kk.";1396;6.04;231.2
"Alavuden as.seutu";1397;6.52;214.4
"Alavuden kt.";4050;10.95;369.8
"Alhopakka";444;3.19;139.3
"Anttola";293;2.25;130.2
"Anttolankylä";906;3.15;287.8
"Arpela";307;1.69;181.9
"Artjärven kk.";307;1.19;258.9
"Asemakylä (Ii)";912;4.42;206.4
"Asemakylä (Sievi)";248;1.10;226.1
"Askaisten kk.";483;2.81;171.7
"Askolan kk.";1309;5.42;241.3
"Auran as.seutu";2694;7.28;370.0
"Bergö";419;3.16;132.6
"Björkboda";233;1.22;190.3
"Björköby";303;2.69;112.7
"Blinkan";220;1.25;176.0
"Borgby";280;2.12;131.9
"Bosund";948;2.86;331.8
"Dagsmark";207;1.77;116.8
"Dragsfjärdin kk.";684;4.98;137.4
"Elimäen kk.";1416;3.88;365.4
"Enon kk.";2027;4.25;476.5
"Enonkosken kk.";631;1.96;322.1
"Enontekiön kk.";555;3.27;169.5
"Epaala";2678;8.03;333.4
"Eskola";266;1.31;202.7
"Eteläinen";604;2.93;206.0
"Etelä-Paippinen";302;2.81;107.4
"Eugmo";499;2.26;220.7
"Eurajoen kk.";2527;6.34;398.5
"Eurakoski";917;4.11;223.1
"Euran kk.";6587;21.14;311.6
"Evijärven kk.";950;4.06;233.8
"Fiskari";454;2.32;196.0
"Forsby";361;4.11;87.9
"Forssan kt.";22076;36.32;607.8
